% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV646
% Time: 2025/11/10 16:20:25
% Demod 1 Sample X, /dev646/demods/0/sample.X
% Demod 1 Sample Y, /dev646/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample X  Amplitude (V); Demod 1 Sample Y  Amplitude (V)
26098.38290443379; -0.000531919921284; -0.11849911124
26099.57610527983; -0.000531425659665; -0.118582948764
26100.76930612587; -0.000533845798361; -0.118669339687
26101.9625069719; -0.000538030273255; -0.118755955806
26103.15570781793; -0.000541579895853; -0.118842160532
26104.34890866397; -0.000541928269751; -0.118924735135
26105.54210951; -0.000545922030631; -0.119007935389
26106.73531035603; -0.000548010764666; -0.119099932383
26107.92851120207; -0.000550847404031; -0.119185504833
26109.12171204811; -0.000554386875745; -0.119283711763
26110.31491289414; -0.00055638757367; -0.119374557647
26111.50811374018; -0.000559077499386; -0.119462455551
26112.70131458621; -0.000562213262093; -0.119562012235
26113.89451543224; -0.000564196801917; -0.119653629155
26115.08771627828; -0.000568020861222; -0.119753645343
26116.28091712431; -0.000569840606625; -0.119851392897
26117.47411797035; -0.00057343710108; -0.11994968306
26118.66731881638; -0.000576709707644; -0.120050174876
26119.86051966242; -0.000581527034158; -0.120147857114
26121.05372050845; -0.00058578572165; -0.120252974151
26122.24692135449; -0.000583941459367; -0.120353147577
26123.44012220052; -0.000589565358365; -0.120453156754
26124.63332304655; -0.000593368805308; -0.120556494748
26125.82652389259; -0.000598138532535; -0.120663409585
26127.01972473862; -0.000600071050273; -0.120771186129
26128.21292558466; -0.000603962300062; -0.120877658482
26129.40612643069; -0.00060643918962; -0.120985442083
26130.59932727673; -0.000611171984173; -0.121097827129
26131.79252812276; -0.000614215047557; -0.121208625076
26132.9857289688; -0.000617669147462; -0.121322797757
26134.17892981483; -0.000622552002507; -0.121432974353
26135.37213066086; -0.000629167380032; -0.121548975494
26136.5653315069; -0.000633745392663; -0.121661005275
26137.75853235293; -0.00063548846934; -0.121781896084
26138.95173319897; -0.000639890090534; -0.121900444253
26140.144934045; -0.000642359018259; -0.122019474608
26141.33813489104; -0.000651713130622; -0.122140026432
26142.53133573707; -0.00065491318664; -0.122259504503
26143.72453658311; -0.00065808385792; -0.122388454073
26144.91773742914; -0.000664264350865; -0.122514174138
26146.11093827517; -0.000666691057694; -0.122641937337
26147.30413912121; -0.000672053627827; -0.122768980948
26148.49733996725; -0.000678635751871; -0.122899054184
26149.69054081328; -0.0006860863635; -0.123034399203
26150.88374165932; -0.000689498291318; -0.123173327218
26152.07694250535; -0.000694160163857; -0.123309136852
26153.27014335138; -0.000696219770234; -0.12344319009
26154.46334419742; -0.000701374130608; -0.123590411877
26155.65654504345; -0.000708898107344; -0.123723694692
26156.84974588949; -0.000719400842294; -0.123871211107
26158.04294673552; -0.000726255470879; -0.124023238649
26159.23614758156; -0.000729703268062; -0.124172026655
26160.42934842759; -0.000733816106645; -0.12431457643
26161.62254927363; -0.000739453848658; -0.124465846506
26162.81575011966; -0.000744478382289; -0.124614037919
26164.00895096569; -0.000748633046299; -0.124762784481
26165.20215181173; -0.000753784541452; -0.124916574023
26166.39535265776; -0.000762069493628; -0.125069380753
26167.5885535038; -0.000769831731229; -0.125228822826
26168.78175434983; -0.000777549876239; -0.125386281358
26169.97495519587; -0.000793783878844; -0.125566104123
26171.1681560419; -0.000802730211947; -0.125745290396
26172.36135688794; -0.00080295011409; -0.125908935881
26173.55455773397; -0.000809313049209; -0.126081780719
26174.74775858; -0.000814873445835; -0.126251604513
26175.94095942604; -0.000822876546954; -0.126423734089
26177.13416027207; -0.000831838160289; -0.126599850468
26178.32736111811; -0.000835770853657; -0.126780215915
26179.52056196414; -0.00084754630769; -0.126968505888
26180.71376281018; -0.000854672988891; -0.127149099699
26181.90696365621; -0.000865126307353; -0.127337152334
26183.10016450225; -0.000873958649858; -0.127531726796
26184.29336534828; -0.000883392546486; -0.12773231269
26185.48656619431; -0.000889997610137; -0.127929083991
26186.67976704035; -0.000899646791171; -0.12812947391
26187.87296788639; -0.000909952516442; -0.12833635444
26189.06616873242; -0.000923169494048; -0.128539503483
26190.25936957845; -0.000931908706674; -0.128750177025
26191.45257042449; -0.000942502259352; -0.128969328295
26192.64577127052; -0.000951326796055; -0.129182634307
26193.83897211656; -0.000964290381343; -0.129401658569
26195.03217296259; -0.000975293837449; -0.129628258668
26196.22537380863; -0.000983282722233; -0.129857986057
26197.41857465466; -0.000999159043137; -0.130091344635
26198.6117755007; -0.00100920918939; -0.130326053648
26199.80497634673; -0.00102409078666; -0.130572726422
26200.99817719276; -0.00103799590983; -0.130815553856
26202.1913780388; -0.00105066298159; -0.131063055173
26203.38457888483; -0.00106451173407; -0.131315596688
26204.57777973087; -0.00107981947285; -0.131557666612
26205.7709805769; -0.00111356376392; -0.131856027721
26206.96418142294; -0.00112979532559; -0.132130694682
26208.15738226897; -0.00113092654691; -0.132393201967
26209.35058311501; -0.00114193481472; -0.132658754825
26210.54378396104; -0.00115689898149; -0.132937827236
26211.73698480708; -0.00117408217293; -0.133227639368
26212.93018565311; -0.00118936196625; -0.133522553238
26214.12338649914; -0.00120485638887; -0.133820444146
26215.31658734518; -0.00122196750717; -0.134124595467
26216.50978819122; -0.00124299217906; -0.134436324098
26217.70298903725; -0.00126112345329; -0.13475681785
26218.89618988328; -0.00128233714971; -0.135065847942
26220.08939072932; -0.0013031889698; -0.135397760026
26221.28259157535; -0.00132382143748; -0.135740260437
