% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV646
% Time: 2025/10/24 12:35:33
% Demod 1 Sample X, /dev646/demods/0/sample.X
% Demod 1 Sample Y, /dev646/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample X  Amplitude (V); Demod 1 Sample Y  Amplitude (V)
% Demod 1 Sample R, /dev646/demods/0/sample.R
% Frequency (Hz); Demod 1 Sample R  Amplitude (V)
23000; 3.93423401132e-05; -0.0133051499723
23005.65170310604; 3.78041663538e-05; -0.0133252277219
23011.30479498367; 3.65646600477e-05; -0.0133443693136
23016.95927597425; 3.57516061386e-05; -0.0133662967389
23022.61514641909; 3.3563572037e-05; -0.0133868021623
23028.27240665955; 3.19313486789e-05; -0.0134064380343
23033.93105703725; 3.21011493674e-05; -0.0134270393875
23039.59109789373; 3.13431142465e-05; -0.0134468056252
23045.25252957062; 2.92953783774e-05; -0.0134687349674
23050.91535240977; 2.80032390867e-05; -0.0134898178961
23056.57956675299; 2.63829682536e-05; -0.013511380788
23062.24517294219; 2.55023117458e-05; -0.0135317848587
23067.91217131935; 2.42807496348e-05; -0.0135525463202
23073.58056222666; 2.19922434604e-05; -0.0135751594598
23079.25034600626; 2.02433442237e-05; -0.0135974786306
23084.92152300035; 1.88550021672e-05; -0.0136185339926
23090.59409355139; 1.79043594497e-05; -0.0136397839236
23096.26805800176; 1.76287903701e-05; -0.0136627956093
23101.94341669393; 1.60165960447e-05; -0.0136845095673
23107.62016997059; 1.35055727647e-05; -0.0137074866011
23113.29831817439; 1.19086706995e-05; -0.013731351752
23118.97786164806; 9.58799320413e-06; -0.013754028058
23124.65880073453; 9.40602708555e-06; -0.0137771958198
23130.3411357767; 6.98681668307e-06; -0.0138011895458
23136.02486711754; 6.0518967861e-06; -0.0138235901079
23141.70999510026; 5.18137689849e-06; -0.0138475791289
23147.396520068; 2.81891203201e-06; -0.0138714560395
23153.08444236399; 1.0947228165e-06; -0.0138951530818
23158.77376233168; -7.90242738082e-07; -0.0139197614902
23164.46448031448; -2.42717205352e-06; -0.0139427013456
23170.1565966559; -3.81811196608e-06; -0.0139682547891
23175.85011169952; -6.25168517876e-06; -0.0139943972385
23181.54502578914; -8.11265007093e-06; -0.0140175174123
23187.24133926847; -8.3010287978e-06; -0.0140424474782
23192.93905248135; -1.14661705216e-05; -0.0140689799119
23198.63816577182; -1.23977562861e-05; -0.0140947315516
23204.33867948386; -1.55982899464e-05; -0.0141197729745
23210.04059396156; -1.59608613206e-05; -0.0141468307882
23215.7439095492; -1.86365959078e-05; -0.0141731955405
23221.44862659104; -2.10115975702e-05; -0.0141996297883
23227.15474543139; -2.2311930905e-05; -0.0142250728347
23232.86226641482; -2.44910817007e-05; -0.0142522186901
23238.57118988582; -2.68337859799e-05; -0.0142795158095
23244.28151618897; -2.82051242533e-05; -0.0143080155234
23249.99324566907; -3.17032696109e-05; -0.0143344816905
23255.70637867088; -3.48142406347e-05; -0.0143632183146
23261.42091553923; -3.72913134722e-05; -0.0143919427432
23267.13685661918; -3.80598610857e-05; -0.0144194613696
23272.85420225574; -3.98703780717e-05; -0.0144474429501
23278.57295279399; -4.34885832563e-05; -0.014475411503
23284.29310857926; -4.52898413075e-05; -0.0145052805457
23290.0146699568; -4.76514605218e-05; -0.0145350893244
23295.73763727199; -5.02308645758e-05; -0.0145648868375
23301.46201087028; -5.23267970139e-05; -0.0145935316989
23307.18779109731; -5.56669033486e-05; -0.0146237659806
23312.91497829869; -5.65308475387e-05; -0.0146535207688
23318.64357282009; -6.0165546533e-05; -0.0146843457977
23324.37357500743; -6.20876153035e-05; -0.0147166704871
23330.10498520656; -6.41130918739e-05; -0.014746973125
23335.83780376341; -6.66643655403e-05; -0.0147790841504
23341.57203102416; -6.96203684655e-05; -0.014809448065
23347.30766733491; -7.22115629297e-05; -0.014841220864
23353.04471304185; -7.4515704351e-05; -0.0148740043247
23358.78316849141; -7.83701848399e-05; -0.0149070359114
23364.52303402995; -8.14331824308e-05; -0.0149382655916
23370.26431000391; -8.36899449214e-05; -0.0149720530624
23376.00699675997; -8.61121445209e-05; -0.0150051987182
23381.75109464475; -8.89588351842e-05; -0.0150397243501
23387.49660400496; -9.333191078e-05; -0.015074779855
23393.24352518753; -9.62334484945e-05; -0.0151080571349
23398.99185853932; -9.96296476431e-05; -0.0151433009285
23404.74160440735; -0.000102365050705; -0.015179072002
23410.49276313867; -0.000107099071898; -0.0152147100331
23416.24533508054; -0.000108509526973; -0.015250275008
23421.99932058018; -0.000112128317281; -0.0152865191667
23427.75471998489; -0.000114617570408; -0.0153234023664
23433.5115336422; -0.000119845062204; -0.0153602191412
23439.26976189958; -0.000123553050604; -0.0153983078649
23445.02940510459; -0.000126729716363; -0.0154362752357
