% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV646
% Time: 2025/10/24 12:28:05
% Demod 1 Sample X, /dev646/demods/0/sample.X
% Demod 1 Sample Y, /dev646/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample X  Amplitude (V); Demod 1 Sample Y  Amplitude (V)
% Demod 1 Sample R, /dev646/demods/0/sample.R
% Frequency (Hz); Demod 1 Sample R  Amplitude (V)
23000; -6.87870150075e-05; -0.0141832781104
23005.65170310604; -7.10343573012e-05; -0.014215883234
23011.30479498367; -7.2916747289e-05; -0.0142484143103
23016.95927597425; -7.39528560473e-05; -0.0142810790199
23022.61514641909; -7.69417578002e-05; -0.0143150940976
23028.27240665955; -7.77627213521e-05; -0.0143483508751
23033.93105703725; -8.05422073349e-05; -0.0143824167065
23039.59109789373; -8.30454121998e-05; -0.0144171024052
23045.25252957062; -8.69027939466e-05; -0.0144517646804
23050.91535240977; -8.80625546351e-05; -0.0144882829222
23056.57956675299; -8.90647882229e-05; -0.0145223255234
23062.24517294219; -9.29401236652e-05; -0.0145576423136
23067.91217131935; -9.56444959338e-05; -0.0145946314273
23073.58056222666; -9.86734299307e-05; -0.0146310126268
23079.25034600626; -0.00010096897671; -0.0146680652673
23084.92152300035; -0.000102665224084; -0.0147052600937
23090.59409355139; -0.000104713336556; -0.0147430866616
23096.26805800176; -0.000107999285345; -0.0147802651268
23101.94341669393; -0.000111536792807; -0.0148191030429
23107.62016997059; -0.000115957282899; -0.014858442105
23113.29831817439; -0.000116923876323; -0.0148982659854
23118.97786164806; -0.000118870335636; -0.0149391755161
23124.65880073453; -0.000122178981713; -0.0149774759077
23130.3411357767; -0.00012562902514; -0.0150179005054
23136.02486711754; -0.000129121163481; -0.0150595915954
23141.70999510026; -0.000131431817386; -0.0151026767795
23147.396520068; -0.000136266742309; -0.0151430819539
23153.08444236399; -0.000139191195942; -0.0151875263865
23158.77376233168; -0.000142787060831; -0.0152304085898
23164.46448031448; -0.000145703618463; -0.015273327711
23170.1565966559; -0.000149319898001; -0.0153170430652
23175.85011169952; -0.000152639351082; -0.0153609285359
23181.54502578914; -0.000156956556513; -0.0154067026622
23187.24133926847; -0.000161516258754; -0.015452370853
23192.93905248135; -0.000164970213641; -0.015496722198
23198.63816577182; -0.000168379362729; -0.0155435763221
23204.33867948386; -0.000172658597855; -0.015592565406
23210.04059396156; -0.000177040528012; -0.0156389874111
23215.7439095492; -0.00018212573089; -0.0156869649446
23221.44862659104; -0.000186560358585; -0.015735084017
23227.15474543139; -0.000190608037762; -0.0157846883903
23232.86226641482; -0.000195385324239; -0.0158332439312
23238.57118988582; -0.000199484410248; -0.0158841802513
23244.28151618897; -0.000204239402348; -0.0159358833667
23249.99324566907; -0.000209450105459; -0.0159862730344
23255.70637867088; -0.000214472438247; -0.0160378904663
23261.42091553923; -0.000219043404116; -0.0160916842449
23267.13685661918; -0.000224337448602; -0.0161448463829
23272.85420225574; -0.000230091879119; -0.0161973091524
23278.57295279399; -0.000233919343927; -0.0162517402605
23284.29310857926; -0.000239345661659; -0.0163082397814
23290.0146699568; -0.000243442787918; -0.016363950409
23295.73763727199; -0.000248874390519; -0.0164206840371
23301.46201087028; -0.00025381021637; -0.0164773140341
23307.18779109731; -0.000259566117369; -0.0165354765189
23312.91497829869; -0.000264968323723; -0.016596757342
23318.64357282009; -0.0002702327688; -0.0166543189935
23324.37357500743; -0.000275648269054; -0.0167155289356
23330.10498520656; -0.000281080371032; -0.0167771470717
23335.83780376341; -0.000286932062994; -0.0168398380024
23341.57203102416; -0.000293985768775; -0.0169046202851
23347.30766733491; -0.000299074499811; -0.0169683344392
23353.04471304185; -0.000305449850927; -0.017035532415
23358.78316849141; -0.000311386312969; -0.0171006908151
23364.52303402995; -0.000318663166289; -0.0171672666069
23370.26431000391; -0.000325228684632; -0.0172362615247
23376.00699675997; -0.000330978194947; -0.0173056064376
23381.75109464475; -0.000338619263687; -0.0173754734683
23387.49660400496; -0.00034623512169; -0.0174465785296
23393.24352518753; -0.000353762730905; -0.0175194445924
23398.99185853932; -0.000361001942169; -0.0175919323694
23404.74160440735; -0.000369181806543; -0.0176672444315
23410.49276313867; -0.000375838423532; -0.017744267198
23416.24533508054; -0.000385329760147; -0.0178206790459
23421.99932058018; -0.000392952599682; -0.0179000489345
23427.75471998489; -0.000401877509044; -0.0179781744072
23433.5115336422; -0.000409711636891; -0.0180597719393
23439.26976189958; -0.000419074607701; -0.018140159292
23445.02940510459; -0.000428186405088; -0.0182251059449
23450.790463605; -0.000438038925053; -0.0183087364882
23456.55293774857; -0.000447538589325; -0.0183947350847
23462.31682788308; -0.000458069664437; -0.0184815953039
23468.08213435659; -0.000468429391401; -0.0185705572558
23473.84885751707; -0.000477971820361; -0.0186617577707
23479.61699771261; -0.000489954075829; -0.0187534916581
23485.38655529149; -0.00050071060962; -0.0188472040655
23491.15753060195; -0.000512294279748; -0.0189428118451
23496.92992399233; -0.000524637599812; -0.01903963445
23502.70373581118; -0.000536258640506; -0.0191396394902
23508.47896640699; -0.000549326932799; -0.019238920453
23514.2556161284; -0.000562692904632; -0.0193417405587
23520.03368532407; -0.000576093232011; -0.0194463906259
23525.8131743429; -0.000591768563145; -0.019551778526
23531.59408353373; -0.000608789523655; -0.019663013692
23537.37641324549; -0.000626702510511; -0.0197712181572
23543.16016382734; -0.000645694542549; -0.0198801044587
23548.94533562836; -0.0006619284148; -0.0199863840519
23554.73192899775; -0.000675518169964; -0.0200990534208
23560.51994428491; -0.000688957845197; -0.020215189603
23566.3093818392; -0.000702914143364; -0.020334539343
23572.10024201006; -0.000718511484982; -0.020457149028
23577.89252514716; -0.000735328327624; -0.0205835761992
23583.68623160011; -0.000755381439701; -0.0207110105862
23589.48136171861; -0.000773383244756; -0.0208414020662
23595.27791585259; -0.000792544000048; -0.0209746818794
23601.07589435192; -0.000812214463608; -0.0211116120632
23606.87529756655; -0.000833279774765; -0.0212489010294
23612.67612584667; -0.000854286607306; -0.0213912014406
23618.47837954241; -0.000877414010931; -0.0215347007721
23624.28205900398; -0.000900523584974; -0.021683650745
23630.08716458183; -0.000924383880459; -0.0218341682911
23635.89369662633; -0.000948004590015; -0.0219876578338
23641.70165548802; -0.000976032924374; -0.0221443664857
23647.51104151746; -0.0010017796347; -0.0223040895921
23653.32185506542; -0.00103005496075; -0.0224708362001
23659.13409648264; -0.00105865715918; -0.0226398104265
23664.94776611993; -0.00108714570686; -0.0228126007325
23670.76286432835; -0.0011190881713; -0.022987911494
23676.57939145889; -0.00115155660872; -0.0231711761538
