% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV646
% Time: 2025/10/24 11:37:55
% Demod 1 Sample X, /dev646/demods/0/sample.X
% Demod 1 Sample Y, /dev646/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample X  Amplitude (V); Demod 1 Sample Y  Amplitude (V)
% Demod 1 Sample R, /dev646/demods/0/sample.R
% Frequency (Hz); Demod 1 Sample R  Amplitude (V)
25000; 7.30407884895e-05; -0.016086379985
25005.67843463979; 7.32933443331e-05; -0.0161188404994
25011.35815906438; 7.33159812094e-05; -0.0161516936731
25017.03917356678; 7.25070917382e-05; -0.0161861358704
25022.72147843991; 7.33988392849e-05; -0.016219325714
25028.40507397692; 7.3206987209e-05; -0.0162527358547
25034.08996047095; 7.33264711691e-05; -0.0162887598551
25039.77613821524; 7.24754218647e-05; -0.0163223543084
25045.46360750308; 7.35341452101e-05; -0.0163577630491
25051.15236862787; 7.29024870337e-05; -0.0163924628347
25056.84242188294; 7.2849561731e-05; -0.0164283498185
25062.53376756184; 7.34645186735e-05; -0.0164653258474
25068.2264059581; 7.26546624817e-05; -0.016500052954
25073.92033736538; 7.26546573661e-05; -0.016536814075
25079.61556207734; 7.22737016143e-05; -0.0165719676555
25085.31208038781; 7.18552549596e-05; -0.016607986332
25091.0098925905; 7.18353926701e-05; -0.0166459193885
25096.70899897936; 7.10298831278e-05; -0.0166830490923
25102.40939984835; 7.18961436959e-05; -0.0167199337575
25108.11109549148; 7.19402664457e-05; -0.0167588492143
25113.81408620291; 7.07892665331e-05; -0.0167970205683
25119.51837227669; 7.10864170985e-05; -0.01683623358
25125.2239540071; 7.04514223537e-05; -0.0168746555924
25130.93083168842; 7.17977468386e-05; -0.01691374704
25136.63900561501; 7.05429647151e-05; -0.0169547845425
25142.34847608131; 7.0678319969e-05; -0.0169953759467
25148.05924338186; 7.1261230922e-05; -0.0170349960405
25153.77130781111; 7.03645122611e-05; -0.0170768959149
25159.48466966374; 6.99487749088e-05; -0.017118921209
25165.19932923444; 6.91174830248e-05; -0.0171604256959
25170.91528681798; 7.0692050154e-05; -0.017202353292
25176.63254270918; 6.96881570515e-05; -0.017245324922
25182.35109720298; 6.99831572513e-05; -0.0172876690513
25188.07095059426; 6.92809473513e-05; -0.0173324937161
25193.79210317808; 7.00539720614e-05; -0.0173752536716
25199.51455524953; 6.88268255769e-05; -0.0174216818464
25205.23830710379; 6.78213952462e-05; -0.0174668255373
25210.96335903614; 6.80067437298e-05; -0.0175119364623
25216.68971134176; 6.81333367462e-05; -0.0175591308555
25222.41736431608; 6.79795559466e-05; -0.0176048478365
25228.14631825451; 6.81783947924e-05; -0.0176509976906
25233.87657345257; 6.82856611923e-05; -0.0176993994962
25239.6081302058; 6.78151136939e-05; -0.0177462500093
25245.34098880991; 6.75395269535e-05; -0.0177953240545
25251.07514956048; 6.74138893303e-05; -0.0178431437322
25256.81061275334; 6.68648710869e-05; -0.0178932560858
25262.5473786843; 6.63801774592e-05; -0.0179435363149
25268.28544764929; 6.68440219799e-05; -0.0179941835478
25274.02481994425; 6.69771319866e-05; -0.0180445737683
25279.76549586529; 6.60865439687e-05; -0.0180963850639
25285.50747570839; 6.61787844834e-05; -0.018149905235
25291.25075976978; 6.66001203378e-05; -0.0182029003407
25296.9953483457; 6.52384111471e-05; -0.0182607272317
25302.74124173246; 6.6098674686e-05; -0.0183138050771
25308.48844022646; 6.49381338734e-05; -0.0183697166038
25314.23694412405; 6.61152328057e-05; -0.018424025755
25319.98675372179; 6.47526382563e-05; -0.0184810279664
25325.73786931625; 6.40968811256e-05; -0.0185387269509
25331.49029120407; 6.36705256807e-05; -0.0185954546043
25337.24401968196; 6.48360726858e-05; -0.0186546222805
25342.99905504674; 6.31153191833e-05; -0.0187126248342
25348.75539759516; 6.27855047408e-05; -0.0187733935678
25354.51304762417; 6.35274660158e-05; -0.0188326505566
25360.27200543076; 6.30281183559e-05; -0.0188952731823
25366.03227131197; 6.3065597566e-05; -0.0189555054601
25371.79384556491; 6.24399688175e-05; -0.019019640664
25377.55672848682; 6.19999645496e-05; -0.0190843939026
25383.32092037483; 6.26142217555e-05; -0.0191481780343
25389.08642152632; 6.20991869622e-05; -0.0192135721185
25394.85323223867; 6.03260298231e-05; -0.0192792813451
25400.62135280933; 6.11423518495e-05; -0.0193473407778
25406.39078353587; 6.06262223246e-05; -0.0194148160441
25412.16152471576; 6.03408228283e-05; -0.0194842241102
25417.93357664672; 6.0279676442e-05; -0.019554681363
25423.70693962647; 5.99927414226e-05; -0.019624942798
25429.48161395279; 5.88411006024e-05; -0.0196971055662
25435.25759992353; 5.89924013259e-05; -0.0197686703842
25441.03489783669; 5.81005274734e-05; -0.0198426857299
25446.81350799013; 5.87644485637e-05; -0.0199166212788
25452.59343068198; 5.66684504758e-05; -0.0199920697913
25458.37466621035; 5.87779872802e-05; -0.020068969576
25464.15721487345; 5.64486235501e-05; -0.0201469871987
25469.94107696954; 5.57276745931e-05; -0.0202253013998
25475.72625279698; 5.58130997094e-05; -0.0203056667625
25481.5127426541; 5.61738056065e-05; -0.0203862999667
25487.30054683939; 5.39308517395e-05; -0.020468494916
25493.08966565139; 5.47951938478e-05; -0.0205519282465
25498.8800993887; 5.52383095991e-05; -0.0206366164351
25504.67184835004; 5.42178125804e-05; -0.0207229755653
25510.46491283406; 5.37342944372e-05; -0.0208103899347
25516.25929313959; 5.46219687736e-05; -0.0208997698702
25522.05498956551; 5.32861798014e-05; -0.0209879962952
25527.85200241077; 5.30122620759e-05; -0.0210819046944
25533.65033197438; 5.17161149811e-05; -0.0211747294763
25539.44997855544; 5.19836146173e-05; -0.0212683319466
25545.25094245303; 5.14076601063e-05; -0.0213642507665
25551.05322396638; 5.06592036431e-05; -0.0214628046228
25556.85682339479; 5.07624298404e-05; -0.0215601207192
25562.6617410376; 4.83722433446e-05; -0.0216596294037
25568.46797719422; 4.98201331723e-05; -0.0217639037322
25574.2755321642; 4.63311476049e-05; -0.0218665481035
25580.08440624698; 4.76083600331e-05; -0.0219723731428
25585.89459974223; 4.75581330707e-05; -0.0220796130583
25591.70611294965; 4.59071456868e-05; -0.0221880133128
25597.51894616897; 4.48442201458e-05; -0.0223009976585
25603.3330997001; 4.3955086898e-05; -0.0224138205492
25609.14857384279; 4.33022417435e-05; -0.0225303614824
25614.96536889709; 4.19726901105e-05; -0.0226475765481
25620.78348516301; 4.21239605059e-05; -0.0227685086529
25626.60292294064; 3.97431854376e-05; -0.0228907776999
25632.42368253015; 4.01318502288e-05; -0.0230125936752
25638.24576423184; 3.88713615673e-05; -0.0231388968404
25644.06916834588; 3.78212229979e-05; -0.0232682033706
25649.89389517271; 3.53956423733e-05; -0.0233996791574
25655.71994501277; 3.3743936861e-05; -0.0235323892963
25661.54731816655; 3.2296320229e-05; -0.0236695780644
25667.37601493465; 2.87050637357e-05; -0.0238075950094
25673.20603561773; 2.76482312018e-05; -0.0239477540302
25679.03738051642; 2.80389166424e-05; -0.0240912858232
25684.87004993154; 2.6778602641e-05; -0.0242375832191
25690.70404416395; 2.63317123312e-05; -0.0243884717258
25696.53936351455; 2.42860134327e-05; -0.0245425711094
25702.37600828439; 2.36272070579e-05; -0.0246978298942
25708.21397877441; 2.24456229902e-05; -0.0248577127892
25714.05327528578; 2.14656116741e-05; -0.025021395944
25719.8938981197; 1.95067143451e-05; -0.0251885174867
25725.73584757741; 1.79149447782e-05; -0.0253600190106
25731.57912396025; 1.75328713965e-05; -0.0255344819304
25737.42372756967; 1.37181528791e-05; -0.0257120133078
25743.26965870702; 1.32382604557e-05; -0.0258946987098
25749.11691767388; 1.10088002396e-05; -0.0260814646213
25754.96550477186; 9.21360462384e-06; -0.0262727327535
25760.81542030262; 6.88074537729e-06; -0.0264687984513
25766.6666645679; 4.97360261674e-06; -0.0266695150149
25772.51923786956; 2.39447005327e-06; -0.0268739816489
25778.37314050936; -3.93324708424e-07; -0.0270835807671
25784.2283727893; -2.82982828906e-06; -0.0273000024673
25790.0849350114; -4.20719940068e-06; -0.0275193049708
25795.94282747773; -7.79759111935e-06; -0.0277462224302
25801.80205049049; -1.20104817114e-05; -0.0279785190794
25807.6626043518; -1.32075748419e-05; -0.0282160721243
25813.52448936398; -1.65835637205e-05; -0.028459379403
25819.38770582941; -2.08944978303e-05; -0.0287094012677
25825.25225405049; -2.40846030395e-05; -0.028966294987
25831.11813432972; -2.72347714953e-05; -0.0292305424109
25836.98534696972; -3.0690491132e-05; -0.0295002609564
25842.853892273; -3.53999231294e-05; -0.0297792407314
25848.72377054232; -3.95231801978e-05; -0.0300653779951
25854.59498208045; -4.41362876301e-05; -0.0303599332588
25860.46752719021; -4.75479468783e-05; -0.030661839076
25866.34140617452; -5.39409084593e-05; -0.0309732511828
25872.2166193364; -5.75406295127e-05; -0.0312931724153
25878.09316697878; -6.39531794568e-05; -0.0316257903539
25883.97104940482; -7.01851647044e-05; -0.031965460747
25889.85026691772; -7.56438921182e-05; -0.0323173395987
25895.73081982071; -8.13860034945e-05; -0.0326807707455
25901.61270841716; -8.84233092519e-05; -0.0330572914854
25907.49593301036; -9.59316542112e-05; -0.0334457280831
