% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV646
% Time: 2025/10/15 11:45:50
% Demod 1 Sample X, /dev646/demods/0/sample.X
% Demod 1 Sample Y, /dev646/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample X  Amplitude (V); Demod 1 Sample Y  Amplitude (V)
25800; 4.87310726464e-05; -0.0140698258907
25802.00501253133; 4.85100430663e-05; -0.0141115945238
25804.01002506266; 4.75915644602e-05; -0.014151596626
25806.01503759398; 4.76871566198e-05; -0.0141935999911
25808.02005012531; 4.84127112604e-05; -0.014235948763
25810.02506265664; 4.85543244213e-05; -0.0142778842457
25812.03007518797; 4.8244904691e-05; -0.014319608139
25814.0350877193; 4.80992668339e-05; -0.0143618848247
25816.04010025063; 4.85654764089e-05; -0.0144053214746
25818.04511278195; 4.7823091718e-05; -0.014448357544
25820.05012531328; 4.85281744015e-05; -0.0144919627708
25822.05513784461; 4.93224457593e-05; -0.0145358153085
25824.06015037594; 4.83580950903e-05; -0.0145801611499
25826.06516290727; 4.78369002314e-05; -0.01462475551
25828.0701754386; 4.7899691111e-05; -0.0146709128351
25830.07518796992; 4.77838103701e-05; -0.0147156315623
25832.08020050125; 4.84817815511e-05; -0.0147621790529
25834.08521303258; 4.83101973146e-05; -0.0148069454671
25836.09022556391; 4.75627254665e-05; -0.014852491993
25838.09523809524; 4.82073927026e-05; -0.0148995612992
25840.10025062656; 4.83838154512e-05; -0.0149461807549
25842.10526315789; 4.87112847123e-05; -0.0149938685631
25844.11027568922; 4.82832144576e-05; -0.0150426065616
25846.11528822055; 4.83545274041e-05; -0.0150902515576
25848.12030075188; 4.81238309944e-05; -0.0151398634605
25850.12531328321; 4.8254539694e-05; -0.0151892626717
25852.13032581454; 4.76881116661e-05; -0.0152404501803
25854.13533834587; 4.83519213533e-05; -0.0152913826508
25856.14035087719; 4.83279638872e-05; -0.0153421694387
25858.14536340852; 4.76553106348e-05; -0.0153941048216
25860.15037593985; 4.76485594193e-05; -0.0154456158315
25862.15538847118; 4.75364420485e-05; -0.0154972196055
25864.16040100251; 4.80484156501e-05; -0.015550688691
25866.16541353384; 4.77424212566e-05; -0.0156048976878
25868.17042606516; 4.71766867002e-05; -0.0156592165488
25870.17543859649; 4.74247896443e-05; -0.0157143395061
25872.18045112782; 4.79086940578e-05; -0.0157701101517
25874.18546365915; 4.74129278988e-05; -0.0158264584566
25876.19047619048; 4.74118676755e-05; -0.0158823565822
25878.19548872181; 4.69198289573e-05; -0.0159397954894
25880.20050125313; 4.76961920148e-05; -0.0159967785476
25882.20551378446; 4.72238467455e-05; -0.0160565709219
25884.21052631579; 4.68815939086e-05; -0.0161160225027
25886.21553884712; 4.63188004525e-05; -0.0161762407676
25888.22055137845; 4.62748715522e-05; -0.016236554243
25890.22556390977; 4.72353325394e-05; -0.0162980705922
25892.2305764411; 4.64200659505e-05; -0.0163597733149
25894.23558897243; 4.70908643095e-05; -0.016422642081
25896.24060150376; 4.59186459718e-05; -0.0164857503817
25898.24561403509; 4.61355337438e-05; -0.0165483769941
25900.25062656642; 4.67254520334e-05; -0.0166121663819
25902.25563909774; 4.63776527915e-05; -0.0166773598086
