% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV646
% Time: 2026/01/16 15:28:59
% Demod 1 Sample X, /dev646/demods/0/sample.X
% Demod 1 Sample Y, /dev646/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample X  Amplitude (V); Demod 1 Sample Y  Amplitude (V)
20000; -0.0702247888915; -0.00198574722232
20004.0020010005; -0.0702235922473; -0.00198540000734
20008.004002001; -0.0702254413834; -0.00198537011661
20012.0060030015; -0.070225038919; -0.00198442287535
20016.008004002; -0.0702263071537; -0.00198248786603
20020.0100050025; -0.0702266857969; -0.0019821888499
20024.012006003; -0.070224724993; -0.0019825231443
20028.0140070035; -0.0702245061856; -0.00198102248196
20032.016008004; -0.0702233950104; -0.00197957661418
20036.0180090045; -0.0702249359156; -0.00197915180817
20040.020010005; -0.0702240878057; -0.00197927479063
20044.0220110055; -0.0702228475672; -0.00197797578718
20048.024012006; -0.0702263048349; -0.00197899963753
20052.0260130065; -0.0702254097161; -0.00197762759627
20056.028014007; -0.0702235926431; -0.00197680556819
20060.03001500751; -0.0702264938215; -0.00197669450775
20064.032016008; -0.0702245474665; -0.0019760003112
20068.0340170085; -0.0702271118528; -0.00197559772336
20072.036018009; -0.0702271512605; -0.00197453232264
20076.03801900951; -0.0702263626946; -0.00197385174127
20080.04002001; -0.0702261615749; -0.00197303442488
20084.0420210105; -0.0702284879364; -0.00197293657971
20088.04402201101; -0.0702267030299; -0.00197231516181
20092.04602301151; -0.0702264866578; -0.0019713082977
20096.04802401201; -0.0702262538025; -0.00197070102608
20100.05002501251; -0.0702260795176; -0.00197047076286
20104.05202601301; -0.070226618224; -0.00196930492101
20108.05402701351; -0.0702250649453; -0.00196954172624
20112.05602801401; -0.0702263129448; -0.00196844212642
20116.05802901451; -0.070226865811; -0.00196729639663
20120.06003001501; -0.0702239263455; -0.00196829109187
20124.06203101551; -0.0702259832264; -0.00196742797528
20128.06403201601; -0.0702240258783; -0.00196657698686
20132.06603301651; -0.0702269276126; -0.00196566811139
20136.06803401701; -0.0702247004355; -0.00196446080948
20140.07003501751; -0.0702275628309; -0.00196395164627
20144.07203601801; -0.0702257731936; -0.00196332093462
20148.07403701851; -0.0702257928328; -0.00196257383761
20152.07603801901; -0.0702267253502; -0.00196193860621
20156.07803901951; -0.0702260645693; -0.00196145441105
20160.08004002001; -0.0702265182118; -0.00196149972685
20164.08204102051; -0.0702250556223; -0.00195989166067
20168.08404202101; -0.0702268781389; -0.00195885084884
20172.08604302151; -0.0702247972811; -0.00195957615553
20176.08804402201; -0.0702245093407; -0.00195818348636
