% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV646
% Time: 2026/02/03 16:45:09
% Demod 1 Sample X, /dev646/demods/0/sample.X
% Demod 1 Sample Y, /dev646/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample X  Amplitude (V); Demod 1 Sample Y  Amplitude (V)
23162.40188088634; -0.000226301719237; -0.0080653610471
23167.32826341266; -0.000227451209237; -0.00808870754836
23172.25569372511; -0.000228068469846; -0.00811076956914
23177.18417204665; -0.000229868751319; -0.00813242199076
23182.11369860008; -0.000232733266341; -0.00815568537929
23187.04427360845; -0.000233645668561; -0.00817945731641
23191.97589729466; -0.000235754462914; -0.00820639274345
23196.90856988183; -0.000236726720837; -0.00823172315435
23201.84229159298; -0.000238615478501; -0.00825837245383
23206.77706265132; -0.000239956476859; -0.00828526529533
23211.71288327995; -0.0002428040941; -0.00830944275549
23216.6497537022; -0.000244259359017; -0.00833593690298
23221.58767414125; -0.000245918312005; -0.00835952751404
23226.52664482051; -0.000248153557015; -0.00838373111111
23231.46666596328; -0.0002497419433; -0.00840746026108
23236.40773779306; -0.00025180838797; -0.00843463036556
23241.34986053324; -0.000254672134057; -0.00846070325909
23246.29303440741; -0.000256196131574; -0.00848473789975
23251.23725963906; -0.00025808435023; -0.0085129779327
23256.18253645189; -0.000259054364582; -0.00854079012599
23261.12886506947; -0.000262522818253; -0.00856698295916
23266.07624571558; -0.000263188222013; -0.00859562509426
23271.02467861391; -0.000267423673051; -0.00862205566491
23275.97416398834; -0.000268422460201; -0.00864901850527
23280.92470206262; -0.000270930330807; -0.00867798149403
23285.87629306076; -0.000271922091548; -0.00870615171222
23290.82893720659; -0.000274881842241; -0.00873583358112
23295.78263472422; -0.000277343897423; -0.00876519549261
23300.73738583757; -0.000278538666379; -0.00879495566402
23305.69319077084; -0.000281568827849; -0.00882513381873
23310.65004974807; -0.000284124709682; -0.00885631817054
23315.60796299354; -0.000287091992329; -0.00888940416335
23320.56693073137; -0.000289227852377; -0.00891998646777
23325.52695318595; -0.000292503954754; -0.00895232899285
23330.48803058151; -0.000295021298881; -0.00898554336204
23335.45016314251; -0.000297970702195; -0.00901906223821
23340.41335109328; -0.000300721132199; -0.00905350616754
23345.37759465839; -0.000303045410407; -0.0090884097913
23350.34289406226; -0.000306952080814; -0.00912332339744
23355.30924952955; -0.000310648368901; -0.0091586304086
23360.27666128477; -0.000313424631966; -0.00919357910585
23365.24512955269; -0.00031604255438; -0.00922875009137
23370.21465455791; -0.000318897890885; -0.00926486545833
23375.18523652529; -0.000322473003545; -0.00930233598755
23380.15687567954; -0.000325709405046; -0.0093410006094
23385.12957224559; -0.000329721467193; -0.00938114153309
23390.10332644827; -0.00033342847828; -0.00941868007036
23395.07813851261; -0.000335047815085; -0.00945844199731
23400.0540086635; -0.000340376569319; -0.00949704357495
23405.03093712609; -0.000343159435633; -0.00953705207213
23410.00892412538; -0.000347122000456; -0.00957720180725
23414.9879698866; -0.000350997948346; -0.00961683363388
23419.96807463483; -0.000354858493863; -0.00965770063389
23424.94923859541; -0.000359500595263; -0.00969965612695
23429.93146199353; -0.000363423653213; -0.00974248070314
23434.91474505462; -0.000367459453008; -0.00978540198926
23439.89908800394; -0.000371775698435; -0.00982936095886
23444.88449106704; -0.000375428089585; -0.00987291095168
23449.87095446928; -0.000381024062261; -0.00991872368151
23454.85847843629; -0.000385310514877; -0.00996523665883
23459.84706319353; -0.000390389187991; -0.0100117431578
23464.83670896672; -0.000395796346886; -0.0100601999821
23469.82741598144; -0.000400605446755; -0.0101082058829
23474.81918446349; -0.000406130096949; -0.0101565880337
23479.81201463854; -0.000410537143676; -0.010208177993
23484.8059067325; -0.000417398697322; -0.0102572075566
23489.80086097112; -0.000422261355419; -0.0103087239828
23494.79687758041; -0.000428135688928; -0.0103613779967
23499.79395678623; -0.000434040064175; -0.0104150923979
23504.79209881468; -0.000439879575954; -0.0104694328357
23509.7913038917; -0.000446401853049; -0.0105230506271
23514.7915722435; -0.000452791868481; -0.0105789410333
23519.79290409613; -0.00045907975845; -0.0106372016802
23524.79529967587; -0.000466277558681; -0.0106927438274
23529.79875920888; -0.000474213072938; -0.0107512772292
23534.80328292154; -0.000480422113624; -0.0108109539021
23539.80887104008; -0.00048823987881; -0.0108719996862
23544.81552379101; -0.000494819199337; -0.0109347621478
23549.82324140065; -0.000502646591276; -0.0109997924397
23554.83202409559; -0.000511469448702; -0.0110636250881
23559.84187210225; -0.000521234224309; -0.0111306065777
23564.85278564733; -0.000527684075674; -0.0111978821737
23569.86476495734; -0.000537161885325; -0.0112659521099
23574.87781025906; -0.000546445239038; -0.0113357714493
23579.89192177912; -0.000556287619294; -0.0114065520677
23584.90709974439; -0.000565943882808; -0.01147758827
23589.92334438159; -0.000575642048846; -0.0115517132202
23594.94065591769; -0.000585199549792; -0.0116275224249
23599.95903457951; -0.000596052768139; -0.0117036462375
23604.97848059411; -0.000606172742217; -0.0117819272262
23609.99899418841; -0.000617353986032; -0.011863637162
23615.02057558957; -0.000629227486606; -0.011944008593
23620.04322502459; -0.000640436030734; -0.0120284598563
23625.06694272075; -0.000654157177229; -0.0121136836888
23630.09172890514; -0.000667560534712; -0.0122013717292
23635.11758380512; -0.000680569194773; -0.01228981971
23640.1445076479; -0.000694083206148; -0.0123839086983
23645.17250066092; -0.000708390301188; -0.0124768458857
23650.2015630715; -0.000723109350743; -0.0125711378506
23655.23169510716; -0.000738323218845; -0.0126677452366
23660.26289699533; -0.000754116560323; -0.0127683300267
23665.29516896362; -0.000770280575724; -0.0128691457299
23670.3285112396; -0.000785742193759; -0.0129714888225
23675.36292405086; -0.000803834156924; -0.0130785945087
23680.39840762519; -0.000821898577463; -0.0131860966956
23685.43496219022; -0.000841073406904; -0.0132966331929
23690.47258797384; -0.000860222659902; -0.0134105529264
23695.5112852038; -0.000882184718797; -0.0135286043689
23700.55105410807; -0.000903591359276; -0.013649534136
23705.59189491448; -0.000925595109536; -0.0137738242008
23710.63380785112; -0.00094962881479; -0.0139015524604
23715.67679314593; -0.000973610676225; -0.0140338534537
23720.72085102706; -0.000998214267948; -0.0141666751367
23725.76598172257; -0.0010249541538; -0.0143067544624
23730.81218546071; -0.00105173868945; -0.014448678228
23735.85946246962; -0.00108226201641; -0.0145949024015
23740.90781297766; -0.0011112360761; -0.0147456147692
23745.95723721306; -0.00114301771062; -0.0149013679084
23751.00773540429; -0.00117580495092; -0.0150602174375
23756.05930777967; -0.00120965363927; -0.0152249306298
23761.11195456775; -0.00124597161837; -0.0153947098034
23766.16567599697; -0.00128327445949; -0.0155697170882
23771.22047229598; -0.00132266701746; -0.0157493841563
23776.27634369329; -0.00136386964643; -0.0159350761924
23781.33329041767; -0.00140976183579; -0.0161271079874
23786.39131269772; -0.00145376311153; -0.0163263481839
23791.45041076231; -0.00150296779701; -0.0165309681803
23796.51058484015; -0.00155359001041; -0.0167422180758
23801.57183516018; -0.00160776072432; -0.0169616497653
23806.63416195121; -0.00166303619544; -0.0171883572942
23811.6975654423; -0.00172327908516; -0.0174222947661
23816.76204586235; -0.00178566933077; -0.0176640783592
23821.82760344051; -0.00185369991947; -0.0179164239039
23826.89423840577; -0.00192352051127; -0.0181768808455
23831.9619509874; -0.00199797661114; -0.0184470957364
23837.03074141447; -0.00207784288434; -0.0187274269545
23842.10060991635; -0.00216159856738; -0.0190204720325
23847.17155672221; -0.00225307339559; -0.0193242664469
23852.24358206151; -0.0023488999438; -0.0196405590551
23857.31668616355; -0.00245249163707; -0.0199700557539
23862.39086925784; -0.00256132071564; -0.0203128204159
23867.4661315738; -0.00268077276373; -0.0206700002872
23872.54247334106; -0.00280307199567; -0.0210425772518
23877.6198947891; -0.00293620956258; -0.0214323773524
23882.69839614766; -0.00308044832586; -0.021840604944
23887.77797764632; -0.00323719048604; -0.022263606509
23892.85863951493; -0.00340381191539; -0.022709235364
23897.94038198315; -0.00358440979889; -0.0231769902972
23903.02320528093; -0.0037790059087; -0.0236670461136
23908.10710963803; -0.00399120937496; -0.0241853196372
23913.1920952845; -0.00422228215299; -0.0247283144171
23918.27816245022; -0.00447293068412; -0.0253020461995
23923.36531136529; -0.00474761279888; -0.0259085589904
23928.45354225971; -0.00505001047609; -0.026550263618
23933.5428553637; -0.00537918348458; -0.0272298653985
23938.63325090733; -0.00574455654587; -0.0279478097519
23943.72472912092; -0.00614792201069; -0.0287121731203
23948.81729023465; -0.00659452451815; -0.0295235761396
23953.91093447894; -0.0070896706017; -0.0303862460509
23959.00566208405; -0.00764231932012; -0.031301443171
23964.10147328051; -0.00825966871547; -0.0322774529368
23969.19836829868; -0.00895173577382; -0.0333165624728
23974.29634736918; -0.00973287020228; -0.0344234441935
23979.39541072247; -0.0106127543128; -0.035603225795
23984.49555858928; -0.0116133562236; -0.0368612081422
23989.59679120016; -0.0127550274149; -0.0382017679513
23994.69910878592; -0.0140625812038; -0.0396263632548
23999.80251157724; -0.0155697400273; -0.041141322527
24004.90699980501; -0.0173128394989; -0.0427455060179
24010.0125737; -0.0193406404478; -0.0444325206388
24015.11923349322; -0.0217112366903; -0.0461902056116
24020.22697941554; -0.0244930781524; -0.0480011170623
24025.33581169804; -0.0277727617289; -0.0498204674208
24030.44573057169; -0.0316482783077; -0.0515827409131
24035.55673626771; -0.0362338995358; -0.0531872926263
24040.66882901713; -0.0416514359341; -0.0544755485708
24045.78200905127; -0.0480133802853; -0.055208949932
24050.89627660128; -0.0553921109789; -0.0550439959071
24056.01163189856; -0.0637591079446; -0.0535233065592
24061.12807517437; -0.0728821554453; -0.0500808835957
24066.2456066602; -0.0822192903414; -0.0441304758829
24071.3642265874; -0.0908278921474; -0.0352677001908
24076.48393518758; -0.097442733704; -0.0235671654518
24081.60473269218; -0.100811163789; -0.00982959470898
24086.72661933289; -0.100196174009; 0.00448699653232
24091.84959534128; -0.0957628676048; 0.0177077352066
24096.97366094913; -0.0884624042629; 0.0285623785975
24102.09881638808; -0.0795886050782; 0.0365085721066
24107.22506189004; -0.0703124112203; 0.0416597154966
24112.35239768675; -0.0614288258982; 0.0444977956752
24117.4808240102; -0.0533764233253; 0.0455965304006
24122.61034109223; -0.0463257727556; 0.0454930019974
24127.74094916493; -0.0402777344796; 0.044610020348
24132.87264846026; -0.0351424687649; 0.0432527838647
24138.00543921039; -0.0308030940369; 0.041635513835
24143.13932164737; -0.0271313152592; 0.0398934701279
24148.27429600349; -0.0240209184913; 0.0381167063375
24153.41036251088; -0.0213772431704; 0.0363637595908
24158.54752140194; -0.0191170417328; 0.0346643761987
24163.6857729089; -0.0171752299381; 0.0330321645708
24168.82511726426; -0.0155001852021; 0.0314822305347
24173.96555470038; -0.0140489094976; 0.030020213749
24179.10708544972; -0.0127865595841; 0.0286447455811
24184.24970974491; -0.011681955518; 0.0273520696274
24189.39342781843; -0.0107097186496; 0.0261399109769
24194.53823990302; -0.00985424682255; 0.0250051832889
24199.68414623126; -0.00909745074962; 0.0239401199638
24204.83114703598; -0.00842321386761; 0.0229432060936
24209.97924254987; -0.00782140920648; 0.0220057724123
24215.12843300586; -0.0072818878086; 0.0211260963735
24220.27871863673; -0.00679749620328; 0.0203004821341
24225.43009967551; -0.00635944496174; 0.0195201325608
24230.58257635509; -0.00596345645341; 0.0187843141691
24235.73614890859; -0.0056039177196; 0.0180898694263
24240.89081756899; -0.00527664289391; 0.0174333903246
24246.04658256953; -0.00497747042827; 0.0168110992617
24251.20344414328; -0.00470318980841; 0.0162221004393
24256.36140252357; -0.00445127781534; 0.0156623684928
24261.52045794358; -0.0042203136168; 0.0151278804381
24266.68061063675; -0.00400550815096; 0.014621085596
24271.84186083634; -0.00380769672703; 0.0141381038969
24277.00420877587; -0.00362434111942; 0.0136783567132
24282.16765468874; -0.00345422774407; 0.0132402962336
24287.33219880857; -0.0032972584841; 0.012823459616
24292.49784136883; -0.00315127980744; 0.0124223704618
24297.66458260325; -0.00301390171733; 0.0120414523551
24302.8324227454; -0.00288663410279; 0.0116759776485
24308.00136202912; -0.00276753112662; 0.0113256078316
24313.17140068806; -0.00265615408179; 0.0109903335448
24318.34253895617; -0.00255173687386; 0.0106671594116
24323.51477706722; -0.00245288181135; 0.010358084432
24328.68811525521; -0.00236022837642; 0.0100600063061
24333.86255375405; -0.00227245929528; 0.00977426261651
24339.03809279784; -0.00219087826353; 0.00949867783051
24344.21473262055; -0.00211451364133; 0.00923248157081
24349.39247345642; -0.00204134649884; 0.00897643861466
24354.57131553952; -0.00197244543444; 0.00873001492918
24359.75125910417; -0.00190602881247; 0.00849140807157
24364.93230438454; -0.00184338330973; 0.0082615064554
24370.11445161505; -0.00178543119844; 0.0080388847104
24375.29770102998; -0.0017299649459; 0.00782399306679
