% Module: Sweep, ID: c0p1t9p1cfm0
% Devices: DEV646
% Time: 2025/11/10 12:57:58
% Demod 1 Sample X, /dev646/demods/0/sample.X
% Demod 1 Sample Y, /dev646/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample X  Amplitude (V); Demod 1 Sample Y  Amplitude (V)
25360; 2.79331547118e-05; -0.0133911664554
25360.44176706827; 3.09910106559e-05; -0.0133976982174
25360.88353413654; 3.32644665978e-05; -0.0134066022708
25361.32530120482; 3.16235078675e-05; -0.013421411455
25361.76706827309; 2.93766889225e-05; -0.0134383945542
25362.20883534136; 2.88459503989e-05; -0.0134532308019
25362.65060240964; 2.83448900696e-05; -0.0134672504952
25363.09236947791; 2.65458976147e-05; -0.0134847351618
25363.53413654619; 2.64249768061e-05; -0.013497780079
25363.97590361446; 2.73518546949e-05; -0.0135130247339
25364.41767068273; 2.59357848775e-05; -0.0135290939766
25364.85943775101; 1.99376239033e-05; -0.0135540909768
25365.30120481928; 1.64499946507e-05; -0.0135744179795
25365.74297188755; 1.88771340241e-05; -0.0135863030503
25366.18473895582; 2.06334327908e-05; -0.0136002956146
25366.62650602409; 1.76960831877e-05; -0.0136210110789
25367.06827309237; 1.38670214302e-05; -0.013643397939
25367.51004016064; 3.92578268109e-06; -0.0136738436123
25367.95180722892; 9.99791994542e-06; -0.0136842613528
25368.39357429719; 8.64358631978e-06; -0.0137022404515
25368.83534136546; 9.16784136589e-06; -0.0137208561532
25369.27710843374; 6.03303608899e-06; -0.0137437837965
25369.71887550201; 3.17078202288e-06; -0.0137674478248
25370.16064257028; 8.7884643176e-07; -0.0137902096407
25370.60240963856; -4.14816586575e-06; -0.0138201978005
25371.04417670683; -3.95804391232e-06; -0.0138402402603
25371.4859437751; -6.60992773504e-06; -0.0138646471807
25371.92771084337; -1.07138490441e-05; -0.0138934020774
25372.36947791164; -1.31610168582e-05; -0.0139187524292
25372.81124497992; -1.57132912545e-05; -0.0139452299913
25373.25301204819; -1.94569444812e-05; -0.0139743476199
25373.69477911647; -2.48273984663e-05; -0.0140073123219
25374.13654618474; -2.82955289012e-05; -0.014036560033
