% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV646
% Time: 2025/12/11 14:17:25
% Demod 1 Sample X, /dev646/demods/0/sample.X
% Demod 1 Sample Y, /dev646/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample X  Amplitude (V); Demod 1 Sample Y  Amplitude (V)
22078.3184486246; -0.000218758721797; -0.0145552913193
22081.5892366209; -0.000223028229838; -0.0145537399991
22084.8600246172; -0.000215828174212; -0.0145543644719
22088.1308126135; -0.00021786108277; -0.0145663789044
22091.4016006098; -0.000206727726627; -0.014557933786
22094.6723886061; -0.000211390931087; -0.0145807818191
22097.9431766024; -0.000214956645919; -0.0145788277929
22101.2139645987; -0.000221656046523; -0.014576783561
22104.484752595; -0.000211140232286; -0.0145783704378
22107.7555405913; -0.000220952780566; -0.0145815443964
22111.02632858761; -0.000223448206193; -0.0145989228956
22114.29711658391; -0.000219554195479; -0.0145918403461
22117.56790458021; -0.000210488856353; -0.0145903845013
22120.83869257651; -0.000221964233968; -0.0146017710865
22124.10948057281; -0.000224893945234; -0.014602956139
22127.38026856911; -0.000227898806168; -0.0146111115305
22130.65105656541; -0.000231326056807; -0.014621978333
22133.92184456171; -0.000222682483163; -0.0146209352145
22137.19263255801; -0.000230479685569; -0.0146301196728
22140.46342055432; -0.00022649881238; -0.0146232677691
22143.73420855062; -0.000226383641895; -0.0146268038417
22147.00499654692; -0.000225136794056; -0.0146342316933
22150.27578454322; -0.000233188607446; -0.0146442597544
22153.54657253952; -0.000233825942881; -0.0146414840758
22156.81736053582; -0.000235602384441; -0.0146435775611
22160.08814853212; -0.000230983436224; -0.0146463188783
22163.35893652842; -0.000235637382129; -0.0146556722674
22166.62972452472; -0.000226637590861; -0.0146615408328
22169.90051252102; -0.000233182607388; -0.0146676404377
22173.17130051732; -0.000231770308894; -0.0146740313124
22176.44208851362; -0.00024343307961; -0.0146756481329
22179.71287650993; -0.000239808000727; -0.0146710826824
