% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV646
% Time: 2025/12/08 17:28:22
% Demod 1 Sample X, /dev646/demods/0/sample.X
% Demod 1 Sample Y, /dev646/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample X  Amplitude (V); Demod 1 Sample Y  Amplitude (V)
22514.66012014565; -0.000908435904268; -0.0603636118735
22517.27000262657; -0.000907515849092; -0.0603825748519
22519.88018764316; -0.000908254962754; -0.0604086331492
22522.49067523038; -0.00090343393556; -0.0604261638316
22525.10146542337; -0.000913499727631; -0.0604292726945
22527.71255825724; -0.000906846301658; -0.0604433819649
22530.32395376698; -0.000907890167068; -0.0604633861644
22532.93565198773; -0.000904222892012; -0.0604805680076
22535.54765295461; -0.000911118867843; -0.0604939593811
22538.15995670265; -0.000911628152752; -0.0605022106571
22540.77256326701; -0.000914499496256; -0.060521266017
22543.38547268272; -0.000918178176168; -0.0605410303502
22545.99868498492; -0.000914785317657; -0.0605621342171
22548.61220020878; -0.0009116008879; -0.0605795089228
22551.2260183893; -0.000919101236848; -0.0605924365003
22553.84013956167; -0.000918945616158; -0.0606066019427
22556.45456376105; -0.000917888126552; -0.0606324300752
22559.06929102247; -0.000919487498226; -0.0606427033861
22561.68432138111; -0.000933349592201; -0.0606574467153
22564.29965487215; -0.000922568298806; -0.0606881970432
22566.91529153063; -0.000916969621168; -0.0606906919012
22569.53123139175; -0.000917031266897; -0.0607030813105
22572.1474744907; -0.000918082072715; -0.0607319348641
22574.76402086254; -0.000927070367048; -0.0607372884603
22577.38087054247; -0.00092614021842; -0.060759011857
22579.99802356569; -0.000933986416167; -0.0607784483459
22582.61547996728; -0.000930701040964; -0.0607927614214
22585.23323978249; -0.000942038152857; -0.0608043172003
22587.85130304641; -0.000933854294582; -0.0608238641125
22590.46966979425; -0.0009281966431; -0.0608428400113
22593.08834006124; -0.000940962287373; -0.0608608781836
22595.70731388248; -0.000945747164203; -0.0608672944479
22598.32659129319; -0.000940516095983; -0.0608978808405
22600.94617232862; -0.000944344985584; -0.0609010976467
22603.56605702387; -0.00094232309186; -0.0609244865906
22606.18624541418; -0.000938634823504; -0.0609433785818
22608.80673753481; -0.000942872185262; -0.0609662645921
22611.42753342087; -0.000944038741814; -0.0609773468403
22614.04863310762; -0.000950673158746; -0.0609891304046
22616.67003663032; -0.000951447213523; -0.0610124277422
22619.2917440241; -0.000951855887606; -0.061037174281
22621.91375532428; -0.000951422304474; -0.0610460776331
22624.53607056599; -0.000941732336785; -0.0610628402242
22627.15868978452; -0.000960088238806; -0.0610766330022
22629.78161301513; -0.00095786952111; -0.061101577125
22632.404840293; -0.000961728462141; -0.0611167820571
22635.02837165339; -0.000964854657449; -0.0611347667161
22637.65220713162; -0.00096642447116; -0.0611528207424
22640.27634676284; -0.000959522784555; -0.0611649420752
22642.90079058235; -0.000971664945822; -0.0611843475179
22645.52553862546; -0.000960975082276; -0.0612057953316
22648.15059092735; -0.000969587700921; -0.061224529607
22650.77594752333; -0.00097336287083; -0.0612299930032
22653.40160844871; -0.000967212110363; -0.0612545406612
22656.02757373869; -0.000966440240232; -0.0612762246128
22658.6538434286; -0.000972717866439; -0.0612899321915
22661.28041755376; -0.000971890988136; -0.0613095610049
22663.90729614937; -0.000984012321798; -0.0613340791877
22666.53447925082; -0.000975967335897; -0.0613461770925
22669.16196689332; -0.000984204508473; -0.0613638452671
22671.78975911221; -0.000985707245763; -0.0613858539578
22674.41785594284; -0.000980310233167; -0.0614031471653
22677.04625742044; -0.000985535626536; -0.0614233796957
22679.67496358036; -0.000982637435109; -0.0614384137746
22682.30397445797; -0.000994672817386; -0.0614591415028
22684.9332900885; -0.000992252960578; -0.0614728260918
22687.56291050732; -0.000998024317304; -0.0615109005445
22690.19283574981; -0.000995997528818; -0.0615070570396
22692.82306585121; -0.00100536151038; -0.0615272997892
22695.45360084691; -0.00100249250368; -0.0615458365151
22698.08444077229; -0.000997105922383; -0.0615680120048
22700.71558566262; -0.00101010068917; -0.06159176071
22703.34703555328; -0.00100295259826; -0.0616030172738
22705.97879047969; -0.00100354038661; -0.0616287552089
22708.6108504771; -0.00100556430944; -0.0616426535377
22711.24321558097; -0.000998670380249; -0.0616728065006
22713.87588582658; -0.00100605135749; -0.0616928713808
22716.50886124935; -0.00100401322653; -0.0617038711236
22719.1421418847; -0.00101541059967; -0.0617197700557
22721.77572776791; -0.00102515505822; -0.0617471391986
22724.40961893442; -0.00101986291828; -0.061760791309
22727.04381541966; -0.00101056927903; -0.0617812359165
22729.67831725893; -0.00101150979927; -0.0618005997186
22732.31312448767; -0.00102121271407; -0.0618228628645
22734.94823714134; -0.00102140083776; -0.0618470684529
22737.58365525524; -0.00101541599713; -0.0618638430253
22740.21937886482; -0.00101383371817; -0.0618874133727
22742.85540800555; -0.00103395300136; -0.061910238271
22745.49174271275; -0.00103316624348; -0.0619218169396
22748.12838302193; -0.00102087706603; -0.061940321757
22750.76532896843; -0.00103906668075; -0.0619720358664
