% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV646
% Time: 2026/01/13 14:43:28
% Demod 1 Sample X, /dev646/demods/0/sample.X
% Demod 1 Sample Y, /dev646/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample X  Amplitude (V); Demod 1 Sample Y  Amplitude (V)
22535.8134577534; -0.000552874660649; -0.0605466003316
22538.16741628108; -0.000546464991321; -0.0602208956877
22540.52162068943; -0.000561277649677; -0.0603925815379
22542.87607100416; -0.000567817475716; -0.0606105583735
22545.23076725088; -0.000570515633509; -0.0606206619053
22547.58570945532; -0.000573678571728; -0.0606491952819
22549.94089764317; -0.000577255056406; -0.0606697150924
22552.29633184013; -0.000580125087969; -0.0606866654413
22554.65201207189; -0.000584355981942; -0.0607053028941
22557.0079383642; -0.000585967485097; -0.0607234235119
22559.36411074267; -0.000589562207729; -0.0607383914474
22561.72052923304; -0.00059268653801; -0.0607550298806
22564.07719386103; -0.000596817805557; -0.0607710766383
22566.43410465236; -0.000600272006561; -0.0607855379116
22568.79126163276; -0.000602972355463; -0.0608017171598
22571.14866482787; -0.000605479955835; -0.0608183464695
22573.50631426345; -0.000609641340736; -0.0608358446571
22575.86420996523; -0.000612580402363; -0.0608540419255
22578.22235195892; -0.000616182659181; -0.0608464128334
22580.5807402703; -0.000619154861514; -0.0608718127463
22582.93937492501; -0.000622313196204; -0.0608900595813
22585.29825594883; -0.000626039636031; -0.0609029774973
22587.65738336748; -0.000628309359073; -0.0609217209053
22590.0167572067; -0.000631890643513; -0.0609382851229
22592.37637749224; -0.000635480570384; -0.0609551030913
22594.73624424988; -0.00063938473491; -0.0609766925354
22597.09635750528; -0.000643025336507; -0.0609913375312
22599.45671728423; -0.000646043838657; -0.0610117870261
22601.81732361247; -0.000649626544194; -0.06103238768
22604.17817651578; -0.000652844550201; -0.0610622418874
22606.53927601993; -0.000656027481321; -0.0610796840518
22608.90062215061; -0.00066006013384; -0.0610960985689
22611.26221493361; -0.00066336567387; -0.0611184748907
22613.62405439471; -0.000667366530241; -0.0611413379642
22615.98614055966; -0.000670732869757; -0.0611629503591
22618.34847345429; -0.000674039016026; -0.0611779136493
22620.71105310428; -0.000678459072555; -0.061193998451
22623.07387953543; -0.000681677754417; -0.0612144607732
22625.43695277354; -0.000685707843284; -0.0612342303527
22627.80027284439; -0.000689350004981; -0.0612528528544
22630.16383977374; -0.000692331485754; -0.0612716548521
22632.52765358744; -0.000696389150939; -0.0612895944128
22634.89171431119; -0.000700055853372; -0.061308690419
22637.25602197081; -0.000703698404074; -0.0613248223632
22639.62057659211; -0.000707469411077; -0.0613435341241
22641.98537820087; -0.000711648483385; -0.061361762605
22644.35042682295; -0.000714736323913; -0.0613807368074
22646.71572248405; -0.000719051769251; -0.0614022044869
22649.08126521002; -0.000722746900167; -0.0614192676687
22651.44705502667; -0.000726488932371; -0.0614394207311
22653.81309195982; -0.000729933730549; -0.0614592839361
22656.17937603531; -0.000734868283061; -0.061477927235
22658.54590727887; -0.000738871010074; -0.0614969947532
22660.91268571636; -0.000743140243751; -0.061515804474
22663.27971137362; -0.00074588652531; -0.0615348156696
22665.64698427645; -0.000750733977728; -0.0615543939578
22668.01450445068; -0.000755755020171; -0.0615741529031
22670.38227192219; -0.000758658373364; -0.0615930878884
22672.75028671672; -0.000763051645355; -0.0616136230865
22675.11854886015; -0.000766904788765; -0.0616332740442
22677.48705837832; -0.000771138549934; -0.0616527400942
22679.85581529705; -0.00077438366056; -0.0616725331643
22682.22481964225; -0.000779662860776; -0.0616919957612
22684.59407143966; -0.000783778052862; -0.0617124895603
22686.96357071519; -0.000787508931521; -0.0617300764174
22689.33331749466; -0.000791661473988; -0.0617499137124
22691.70331180395; -0.000796208114099; -0.0617721549544
22694.07355366895; -0.000801060885978; -0.061791649282
22696.44404311543; -0.000805437746042; -0.0618107369797
22698.8147801693; -0.000809917571734; -0.0618299748336
22701.18576485641; -0.000814166137961; -0.061849572147
22703.55699720264; -0.000819634764275; -0.0618713488794
22705.92847723386; -0.000823004131142; -0.061893285038
22708.30020497597; -0.000827839853777; -0.0619141366595
22710.67218045477; -0.000831928844564; -0.0619359462771
22713.04440369618; -0.00083666483954; -0.0619564623797
22715.41687472608; -0.000841727353346; -0.0619843257619
22717.78959357034; -0.000845701277255; -0.0620081328412
22720.16256025491; -0.000848595674628; -0.0619287955833
22722.53577480557; -0.000856141309301; -0.0620008044491
22724.90923724827; -0.000861070274348; -0.0620683800242
22727.28294760889; -0.00086624080824; -0.0620945401037
22729.65690591334; -0.000871352854832; -0.0621163282833
22732.03111218755; -0.000876096042065; -0.0621260107237
22734.40556645735; -0.000880614963471; -0.0621487957367
22736.78026874867; -0.000885550095683; -0.0621712639223
22739.15521908742; -0.00089158444633; -0.0621916340869
22741.53041749952; -0.000895418290002; -0.0622151984913
22743.90586401087; -0.000902138141388; -0.0622444391551
22746.28155864745; -0.000905568335126; -0.0622671331619
22748.65750143506; -0.000910631460402; -0.0622881842944
22751.03369239968; -0.000916280433068; -0.062311741538
22753.41013156724; -0.000921187720574; -0.0623329889889
22755.78681896365; -0.000926142120524; -0.0623532965085
22758.1637546149; -0.000931850767275; -0.0623765278399
22760.54093854682; -0.000936838710936; -0.0623976145536
22762.91837078539; -0.000941760173722; -0.062421797924
22765.29605135655; -0.000947501623097; -0.0624449271535
22767.67398028624; -0.000952890015185; -0.0624683604486
22770.05215760044; -0.000958808846562; -0.0624903494664
22772.43058332501; -0.000964254745242; -0.0625106551047
22774.80925748595; -0.000969083468316; -0.0625337131302
22777.1881801092; -0.000975233603389; -0.0625579308679
22779.56735122071; -0.000981386657659; -0.062587690137
22781.94677084644; -0.000986583770931; -0.0626087799399
22784.32643901241; -0.000991708285086; -0.0626347190649
22786.70635574446; -0.000998432383917; -0.0626624425836
22789.08652106862; -0.00100399856478; -0.0626865450222
22791.46693501085; -0.00101040286403; -0.0627080603405
22793.84759759711; -0.00101592702807; -0.0627324124244
22796.22850885344; -0.00102186537803; -0.0627550916057
22798.6096688057; -0.00102727836416; -0.0627798930803
22800.99107747994; -0.00103373336768; -0.0628038448124
22803.37273490211; -0.00104033991283; -0.0628247073065
22805.75464109821; -0.00104578089005; -0.0628518466148
22808.13679609427; -0.00105266139105; -0.0628743273026
22810.51919991618; -0.00105883627155; -0.0628988691955
22812.90185258998; -0.00106531501418; -0.062922181013
22815.28475414167; -0.00107221055823; -0.0629465996425
22817.66790459724; -0.00107739981324; -0.0629684677677
22820.05130398268; -0.00108413605055; -0.0629938467312
22822.43495232406; -0.00109067490642; -0.063017435049
22824.81884964728; -0.00109720720943; -0.063043166457
22827.20299597839; -0.00110403229909; -0.0630686226252
22829.5873913434; -0.00111040870656; -0.0630931721686
22831.97203576833; -0.0011175480258; -0.0631169842842
22834.35692927923; -0.00112316352907; -0.0631428758799
22836.74207190204; -0.00113023461256; -0.06317026267
22839.12746366282; -0.00113768830307; -0.0631955921304
22841.51310458759; -0.00114449925091; -0.063219026532
22843.89899470238; -0.0011510427307; -0.0632454955427
22846.28513403327; -0.00115736680849; -0.0632697962005
22848.67152260619; -0.00116463909494; -0.0632952706897
22851.05816044722; -0.00117161002392; -0.0633239727454
22853.44504758241; -0.00117882394008; -0.0633489001199
22855.83218403779; -0.0011859776446; -0.0633759708754
22858.2195698394; -0.00119351151803; -0.0634012309335
22860.60720501334; -0.00120056842024; -0.0634267817711
22862.99508958556; -0.00120842397005; -0.0634534198259
22865.38322358216; -0.00121597758806; -0.063481240502
22867.77160702919; -0.00122257964384; -0.0635067150383
22870.1602399527; -0.00123039495853; -0.0635323127302
22872.54912237881; -0.00123851197939; -0.063560903216
22874.93825433348; -0.001246386897; -0.0635892141268
22877.32763584282; -0.00125381299204; -0.0636150073228
22879.7172669329; -0.00126214716401; -0.0636382145979
22882.10714762979; -0.00126874502226; -0.0636672009604
22884.49727795961; -0.00127746238033; -0.0636946661851
22886.88765794834; -0.00128506902034; -0.0637202166546
22889.2782876221; -0.00129384590972; -0.0637462983299
22891.66916700697; -0.00130035148943; -0.0637745083421
22894.06029612905; -0.00130899495882; -0.0638032021902
22896.45167501441; -0.00131779105309; -0.0638293097181
22898.84330368919; -0.00132610464884; -0.0638567765162
22901.23518217939; -0.00133416871825; -0.063883676493
22903.62731051114; -0.0013429508137; -0.0639142186733
22906.01968871056; -0.00135065825085; -0.0639426311504
22908.41231680373; -0.00135913926899; -0.0639705521977
22910.8051948168; -0.00136843337732; -0.0639975701382
22913.19832277579; -0.00137725343348; -0.0640267000863
22915.59170070685; -0.00138612162571; -0.064056091537
22917.9853286361; -0.00139412682227; -0.0640834481236
22920.37920658963; -0.00140396462761; -0.0641147064843
22922.77333459363; -0.00141262978232; -0.0641409280876
22925.16771267411; -0.0014215414574; -0.0641687238834
22927.56234085724; -0.00143117444773; -0.064200583523
22929.95721916915; -0.0014411809478; -0.0642310465508
22932.35234763596; -0.00144817166822; -0.0642621910299
22934.7477262838; -0.00145844990464; -0.0642905880099
22937.14335513885; -0.00146810772787; -0.0643212739803
22939.53923422716; -0.00147702311578; -0.064350140174
22941.93536357491; -0.00148684192708; -0.0643798790814
22944.33174320823; -0.00149683096505; -0.0644095635421
22946.72837315328; -0.00150654315137; -0.0644410891857
22949.12525343624; -0.00151663562036; -0.0644722521239
22951.52238408317; -0.00152745563008; -0.0645019878868
22953.91976512027; -0.00153657304957; -0.0645333383453
22956.31739657369; -0.00154679936232; -0.064563321168
22958.7152784696; -0.00155685548402; -0.064596308057
22961.11341083419; -0.0015677069375; -0.0646281210004
22963.51179369353; -0.00157743892464; -0.0646568034295
22965.91042707384; -0.00158826915489; -0.0646869432302
22968.30931100129; -0.00159762838753; -0.0647191830797
22970.70844550204; -0.00160910408402; -0.0647513201334
22973.10783060227; -0.00161969002554; -0.0647838976809
22975.5074663282; -0.00163104068432; -0.0648178858785
22977.90735270593; -0.00164142824939; -0.0648493054608
22980.30748976166; -0.0016529482479; -0.0648805972195
22982.7078775216; -0.00166408357221; -0.0649139124064
22985.10851601193; -0.00167451719716; -0.0649454779636
22987.50940525887; -0.0016862105237; -0.0649796767519
22989.91054528855; -0.00169767173013; -0.0650127888267
22992.31193612718; -0.00170902244561; -0.0650478972741
22994.71357780098; -0.00172094499488; -0.0650782550244
22997.11547033614; -0.00173212746541; -0.0651083433808
22999.51761375892; -0.00174465398472; -0.0651433267018
23001.92000809543; -0.00175730819047; -0.0651776610844
23004.32265337191; -0.00176834672109; -0.0652053344288
23006.72554961459; -0.00178035148708; -0.0652421466001
23009.12869684968; -0.00179238292553; -0.0652844312374
23011.5320951034; -0.00180437720284; -0.0653135425279
23013.93574440201; -0.00181731972026; -0.0653543497531
23016.33964477164; -0.00183081551322; -0.0653880858229
23018.74379623856; -0.00184284307669; -0.0654222781595
23021.148198829; -0.00185611728525; -0.0654596787548
23023.5528525692; -0.00186946759374; -0.0654892520731
23025.95775748543; -0.00188167520702; -0.0655152313366
23028.36291360384; -0.00189520241089; -0.0655491984021
23030.76832095071; -0.00190833464795; -0.0655977491839
23033.17397955229; -0.00192211909089; -0.0656310161933
23035.57988943481; -0.00193520844819; -0.0656695614237
23037.98605062453; -0.00194930847603; -0.0657067330562
23040.39246314774; -0.00196340763963; -0.06574562207
23042.7991270306; -0.00197733583425; -0.0657828053593
23045.20604229942; -0.00199137190794; -0.0658200632914
23047.61320898045; -0.00200626871551; -0.0658543070235
23050.02062709995; -0.00201927569146; -0.0658947167958
23052.42829668424; -0.00203506989557; -0.0659317997805
23054.83621775948; -0.00205060775347; -0.0659747187239
23057.244390352; -0.002064540751; -0.0660147969149
23059.65281448806; -0.00207979462982; -0.0660491516062
23062.06149019394; -0.00209609209114; -0.0660892847006
23064.47041749597; -0.0021109279589; -0.0661289199312
23066.87959642033; -0.00212625250036; -0.0661674983696
23069.28902699335; -0.00214212704323; -0.0662041882775
