% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV646
% Time: 2025/12/08 16:03:36
% Demod 1 Sample X, /dev646/demods/0/sample.X
% Demod 1 Sample Y, /dev646/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample X  Amplitude (V); Demod 1 Sample Y  Amplitude (V)
22972.26902243216; -0.00133648597112; -0.0641910541556
22974.29116224325; -0.00134067209215; -0.0642223008285
22976.31348005375; -0.00134483373375; -0.0642249850688
22978.33597587925; -0.0013472544728; -0.0642448219229
22980.35864973545; -0.00137364999949; -0.0642660318487
22982.38150163808; -0.001343068154; -0.0642804966246
22984.40453160271; -0.00133549447185; -0.0642976292479
22986.42773964508; -0.00132200401366; -0.0643217980037
22988.45112578089; -0.00133115150219; -0.0643231593448
22990.47469002573; -0.00132210003195; -0.0643425376517
22992.49843239532; -0.00170486521061; -0.0643762381035
22994.52235290541; -0.00178093841664; -0.0643907166472
22996.54645157156; -0.00185010975622; -0.0644286519428
22998.5707284095; -0.00189974350277; -0.0644378258882
23000.59518343498; -0.00189169470289; -0.064472942128
23002.61981666358; -0.00188372939067; -0.0644833207851
23004.64462811103; -0.00186474451472; -0.0645035270911
23006.66961779303; -0.00185969235514; -0.0645168495172
23008.6947857253; -0.00186143826991; -0.064538418719
23010.72013192344; -0.00185945949496; -0.06454586478
23012.7456564032; -0.00185644893261; -0.0645741311752
23014.77135918031; -0.00183674299072; -0.0645894247205
23016.79724027038; -0.00183726945726; -0.0646015842905
23018.82329968915; -0.00183509087452; -0.0646224097261
23020.84953745235; -0.0018210797388; -0.0646326512043
23022.8759535756; -0.00182738397831; -0.0646552396272
23024.90254807465; -0.0018207779344; -0.0646756574429
23026.92932096523; -0.00181897965072; -0.0646904723774
23028.95627226297; -0.00181225398941; -0.0647070912592
23030.98340198361; -0.00180806330909; -0.0647223175326
23033.01071014291; -0.00180200396377; -0.0647424538446
23035.03819675647; -0.00181902258672; -0.0647646885243
23037.06586184006; -0.00181593793655; -0.064772918817
23039.09370540943; -0.00180747477566; -0.0647964936655
23041.12172748019; -0.00180485019523; -0.0648146885721
23043.14992806812; -0.00182600156797; -0.0648341385575
23045.17830718896; -0.00181073255262; -0.0648576919284
23047.20686485834; -0.001816157432; -0.0648633170758
23049.23560109203; -0.00181043238993; -0.064877422348
23051.26451590578; -0.00182904890284; -0.0648918209734
23053.29360931523; -0.00183504772229; -0.0649205424459
23055.32288133614; -0.00184070964198; -0.0649465783713
23057.35233198429; -0.00184430103772; -0.0649610040062
23059.38196127529; -0.00182717554486; -0.0649852083325
23061.41176922493; -0.00184988715287; -0.065002913086
23063.44175584897; -0.00184914679719; -0.0650300850371
23065.47192116306; -0.00185315566768; -0.0650336094353
