% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV646
% Time: 2025/12/17 15:16:29
% Demod 1 Sample X, /dev646/demods/0/sample.X
% Demod 1 Sample Y, /dev646/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample X  Amplitude (V); Demod 1 Sample Y  Amplitude (V)
23405.62270599572; -0.00144648369566; -0.0689431066509
23407.38403637494; -0.00145724519401; -0.0689806513476
23409.14536675415; -0.00146298624868; -0.0690137244891
23410.90669713336; -0.00146768771463; -0.0690403708049
23412.66802751257; -0.00147288517752; -0.0690833251538
23414.42935789178; -0.00147185072678; -0.069117095485
23416.190688271; -0.00149236710943; -0.0691484977197
23417.9520186502; -0.00149545589028; -0.0691922239988
23419.71334902942; -0.00150263079796; -0.0692209828227
23421.47467940863; -0.00150105450015; -0.0692611345523
23423.23600978784; -0.00150203680137; -0.0692865237088
23424.99734016705; -0.00151007116351; -0.0693405593212
23426.75867054626; -0.00151555717261; -0.0693818063271
23428.52000092548; -0.00152533887707; -0.0694148315372
23430.28133130469; -0.00152090216446; -0.0694533303444
23432.0426616839; -0.00153960306588; -0.0694839383856
23433.80399206311; -0.00153912415487; -0.069535900556
23435.56532244233; -0.00154638610948; -0.0695653181841
23437.32665282154; -0.0015522832347; -0.0696094003926
23439.08798320075; -0.00156671369935; -0.0696500871786
23440.84931357996; -0.00156720746896; -0.0696878760363
23442.61064395917; -0.0015772939941; -0.069729198257
23444.37197433838; -0.00158219801302; -0.0697593809305
23446.13330471759; -0.00159240547574; -0.0698092418798
23447.89463509681; -0.00159590404322; -0.0698502030343
23449.65596547602; -0.00160093647967; -0.0698841799878
23451.41729585523; -0.00160150469297; -0.0699277682097
23453.17862623444; -0.00161322872678; -0.0699667663684
23454.93995661365; -0.0016201104688; -0.0700152977871
23456.70128699287; -0.00163744489288; -0.0700573689915
23458.46261737208; -0.00164254077963; -0.0700969555279
23460.22394775129; -0.00164338596665; -0.0701412796253
23461.9852781305; -0.00165230150541; -0.0701861151501
23463.74660850971; -0.00166417056492; -0.0702193361946
23465.50793888892; -0.00166182349092; -0.0702680354705
23467.26926926814; -0.00167778746884; -0.070306389782
23469.03059964735; -0.00166852137622; -0.0703433524599
23470.79193002656; -0.00168526488777; -0.0703796107648
23472.55326040577; -0.0016943125228; -0.0704336213168
23474.31459078498; -0.00170724519116; -0.0705097442554
23476.0759211642; -0.00171159756356; -0.0705188889843
23477.83725154341; -0.00171791359663; -0.0705669208464
23479.59858192262; -0.00172644138806; -0.070605476416
23481.35991230183; -0.00173420145857; -0.0706488940228
23483.12124268104; -0.00174289471476; -0.0707014835103
23484.88257306025; -0.00174925183879; -0.0707397031736
23486.64390343947; -0.00176194237261; -0.0707906317602
23488.40523381868; -0.00176695098549; -0.0708318206095
23490.16656419789; -0.00177973811899; -0.0708806276835
23491.9278945771; -0.00178199321621; -0.0709261987484
23493.68922495631; -0.00178695136106; -0.07097213112
23495.45055533553; -0.00180431887962; -0.071026052023
23497.21188571474; -0.00181730267809; -0.0710640777719
23498.97321609395; -0.00182909998465; -0.071100528243
23500.73454647316; -0.00183190580406; -0.0711566235349
23502.49587685237; -0.00182789987016; -0.0712109939932
23504.25720723159; -0.00184025963993; -0.07125735006
23506.01853761079; -0.00185279464059; -0.071307007846
23507.77986799001; -0.0018600397218; -0.0713547263546
23509.54119836922; -0.00187056419606; -0.0714037908932
23511.30252874843; -0.00189608473776; -0.0714886829075
23513.06385912764; -0.00190661979332; -0.0714923092555
23514.82518950686; -0.00191554583222; -0.0715589600518
23516.58651988607; -0.00190023625367; -0.0716027109403
23518.34785026528; -0.00191607307223; -0.0716538353364
23520.10918064449; -0.00192230320522; -0.0717028222279
