% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV646
% Time: 2025/12/08 15:00:20
% Demod 1 Sample X, /dev646/demods/0/sample.X
% Demod 1 Sample Y, /dev646/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample X  Amplitude (V); Demod 1 Sample Y  Amplitude (V)
24563.47359456698; -0.000148619535859; -0.0327959317918
24566.50593341668; -0.000148187923755; -0.0328060017671
24569.53864660594; -0.00014805170342; -0.0328111688104
24572.57173418089; -0.000148362334253; -0.0328212213805
24575.60519618779; -0.00015008110802; -0.0328300215121
24578.63903267286; -0.000149960030363; -0.0328385639829
24581.67324368238; -0.000150319099352; -0.0328465940882
24584.70782926249; -0.000150763662333; -0.03285631924
24587.74278945948; -0.000149570203473; -0.0328640661782
24590.77812431958; -0.00014958042085; -0.0328718123408
24593.81383388911; -0.000150217101583; -0.0328796057187
24596.84991821423; -0.00015093413739; -0.0328884940691
24599.88637734123; -0.000150720498638; -0.0328972623981
24602.9232113164; -0.000149878881355; -0.032906808572
24605.96042018606; -0.000151109340668; -0.0329142310461
24608.99800399639; -0.000150661916184; -0.0329231766869
24612.03596279373; -0.000149239426429; -0.0329321154623
24615.07429662435; -0.000150488762627; -0.0329416746836
24618.11300553463; -0.000151103297505; -0.0329489988728
24621.15208957075; -0.000151906643548; -0.0329583271107
24624.19154877908; -0.00015112093045; -0.0329661822
24627.23138320593; -0.000151460922934; -0.0329724826421
24630.27159289767; -0.000151803353453; -0.0329817877277
24633.31217790053; -0.000152495769984; -0.0329913329646
24636.35313826089; -0.000152492075624; -0.0329994459402
24639.39447402509; -0.000150839488342; -0.0330078698527
24642.43618523952; -0.000152025349709; -0.0330173710735
24645.47827195042; -0.000151392705419; -0.0330253457502
24648.52073420421; -0.000151989392579; -0.0330347009774
24651.56357204725; -0.000152273343261; -0.0330418625708
24654.60678552594; -0.000151803303452; -0.0330504787888
24657.65037468657; -0.000152453501379; -0.0330582146113
24660.69433957556; -0.000150649985398; -0.0330687413003
24663.73868023929; -0.000153968756001; -0.0330773929977
24666.78339672421; -0.000151462287338; -0.0330850632658
24669.8284890766; -0.000151931715138; -0.0330943403997
24672.87395734292; -0.000151506099812; -0.0331020822355
24675.91980156957; -0.000152604457233; -0.0331111235478
24678.96602180302; -0.000153053439663; -0.0331182538816
24682.01261808959; -0.000154180342416; -0.0331275065491
24685.05959047574; -0.000152931013602; -0.0331388226616
24688.10693900791; -0.000154351433636; -0.0331481207644
24691.15466373257; -0.000152840874465; -0.0331572535361
24694.20276469609; -0.0001536538638; -0.0331670350054
24697.25124194493; -0.00015371204771; -0.033175014714
