% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV646
% Time: 2025/12/11 12:18:56
% Demod 1 Sample X, /dev646/demods/0/sample.X
% Demod 1 Sample Y, /dev646/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample X  Amplitude (V); Demod 1 Sample Y  Amplitude (V)
20089.96018073792; -4.01018989755e-05; -0.00243185749081
20096.22994814005; -3.97540230706e-05; -0.00243349914939
20102.49971554218; -4.02694621443e-05; -0.00243529301139
20108.76948294431; -4.07695352287e-05; -0.00243802683692
20115.03925034644; -4.07944322776e-05; -0.00243834751667
20121.30901774856; -4.01281384281e-05; -0.00243948255954
20127.57878515069; -4.0243381617e-05; -0.00244097205041
20133.84855255282; -4.09279509589e-05; -0.00244291639971
20140.11831995495; -4.02717890238e-05; -0.0024436708906
20146.38808735708; -3.9872323534e-05; -0.00244536301375
20152.65785475921; -4.10294817975e-05; -0.00244767079734
20158.92762216134; -4.13821138474e-05; -0.00244791131517
20165.19738956347; -4.14493090404e-05; -0.00245025117914
20171.4671569656; -4.19808854221e-05; -0.00245190016337
20177.73692436773; -4.09954395407e-05; -0.00245389025694
20184.00669176986; -4.24963586502e-05; -0.00245577915722
20190.27645917199; -4.14469370064e-05; -0.0024559205704
20196.54622657412; -3.99058313215e-05; -0.00245733946811
20202.81599397624; -3.99832818922e-05; -0.00245873393038
20209.08576137837; -4.15800312201e-05; -0.00246031762845
20215.3555287805; -4.18911809837e-05; -0.00246187208479
20221.62529618263; -4.1391915757e-05; -0.00246396952313
20227.89506358476; -4.28032615067e-05; -0.00246552216067
20234.16483098689; -4.1119817168e-05; -0.00246679684
20240.43459838902; -4.23293772589e-05; -0.00246888957597
20246.70436579115; -4.20451468039e-05; -0.00246972625134
20252.97413319328; -4.31422889003e-05; -0.00247189959093
20259.24390059541; -4.1945029601e-05; -0.00247260959625
20265.51366799754; -4.25374151612e-05; -0.0024749605003
20271.78343539967; -4.2678973573e-05; -0.00247637468786
20278.0532028018; -4.16118435988e-05; -0.00247780104767
20284.32297020393; -4.12992543531e-05; -0.00247954124705
20290.59273760606; -4.25529596915e-05; -0.00248025107683
20296.86250500819; -4.32372377985e-05; -0.00248367909815
20303.13227241032; -4.26452456285e-05; -0.00248439784798
20309.40203981244; -4.29590299682e-05; -0.00248585450254
20315.67180721457; -4.19976772011e-05; -0.00248780965484
20321.9415746167; -4.31980402371e-05; -0.00248956115985
20328.21134201883; -4.424326459e-05; -0.00249080657115
20334.48110942096; -4.25167321727e-05; -0.00249286766835
20340.75087682309; -4.29306469464e-05; -0.00249328276399
20347.02064422522; -4.35968250249e-05; -0.00249505251703
20353.29041162735; -4.41245774288e-05; -0.0024965394284
20359.56017902948; -4.33157330764e-05; -0.00249791400185
20365.82994643161; -4.33299462799e-05; -0.00249876424441
20372.09971383374; -4.42391459156e-05; -0.00250148547061
20378.36948123587; -4.4150209642e-05; -0.00250267056443
20384.639248638; -4.49292324134e-05; -0.0025059617561
20390.90901604012; -4.51901363805e-05; -0.00250663694862
20397.17878344225; -4.46550862567e-05; -0.00250895717077
20403.44855084438; -4.55170962166e-05; -0.00251010234163
20409.71831824651; -4.5256253712e-05; -0.00251179960793
20415.98808564864; -4.46655846379e-05; -0.00251302917023
20422.25785305077; -4.40441271998e-05; -0.00251473765131
20428.5276204529; -4.46900409112e-05; -0.00251698299193
20434.79738785503; -4.46268726219e-05; -0.00251839917606
20441.06715525716; -4.52223432264e-05; -0.00251924286791
20447.33692265929; -4.53702471137e-05; -0.00252156926976
20453.60669006142; -4.41812517788e-05; -0.00252320507473
20459.87645746355; -4.51436620227e-05; -0.00252402656872
20466.14622486568; -4.50623703201e-05; -0.00252652071836
20472.4159922678; -4.54833261176e-05; -0.00252836181365
20478.68575966993; -4.57383739239e-05; -0.00252906454372
20484.95552707206; -4.61694022503e-05; -0.00253153042934
20491.22529447419; -4.43727028282e-05; -0.00253283581641
20497.49506187632; -4.65126914741e-05; -0.00253493491486
20503.76482927845; -4.5279349735e-05; -0.00253603951545
20510.03459668058; -4.49117328552e-05; -0.0025395403035
20516.30436408271; -4.64968193238e-05; -0.002539521579
20522.57413148484; -4.72971137075e-05; -0.00254240724371
20528.84389888697; -4.59620838968e-05; -0.00254456226273
20535.1136662891; -4.67479019963e-05; -0.002544978647
20541.38343369123; -4.57659072413e-05; -0.00254663275084
20547.65320109336; -4.67006802432e-05; -0.00254919653202
20553.92296849549; -4.78438046134e-05; -0.00254907206631
20560.19273589762; -4.69931571239e-05; -0.0025508951085
20566.46250329975; -4.6399673548e-05; -0.00255348179877
20572.73227070188; -4.78620976446e-05; -0.00255384189908
20579.002038104; -4.77091569929e-05; -0.00255703676552
20585.27180550613; -4.7359459985e-05; -0.00255905817547
20591.54157290826; -4.6189131379e-05; -0.00256203286861
20597.81134031039; -4.68112071337e-05; -0.00256325658206
20604.08110771252; -4.81967685911e-05; -0.00256548517028
20610.35087511465; -4.77801325477e-05; -0.00256589580631
20616.62064251678; -4.73053312868e-05; -0.0025684551025
20622.89040991891; -4.72207036902e-05; -0.00256889995641
20629.16017732104; -4.71081568477e-05; -0.00257115045533
20635.42994472317; -4.96614064887e-05; -0.00257180822652
20641.6997121253; -4.80200157522e-05; -0.0025751045865
20647.96947952743; -4.78433278373e-05; -0.00257640944349
20654.23924692956; -4.82801584007e-05; -0.00257951053313
20660.50901433168; -4.81068785346e-05; -0.00258023116961
20666.77878173381; -4.75232413304e-05; -0.00258195658024
20673.04854913594; -4.94763872237e-05; -0.00258392939003
20679.31831653807; -4.76623670151e-05; -0.00258498068539
20685.5880839402; -5.03720260498e-05; -0.00258848030274
20691.85785134233; -4.84621198527e-05; -0.00258921722114
20698.12761874446; -5.00221995016e-05; -0.00259190977377
20704.39738614659; -4.97629188655e-05; -0.00259268125451
20710.66715354872; -4.93389417939e-05; -0.00259524797527
20716.93692095085; -5.01513274277e-05; -0.0025973712956
20723.20668835298; -4.9861274274e-05; -0.0025982715388
20729.47645575511; -5.01029703506e-05; -0.00260095415299
20735.74622315724; -5.06720639619e-05; -0.00260181832267
20742.01599055936; -4.89858701992e-05; -0.0026038409454
20748.28575796149; -5.14166583942e-05; -0.00260561911733
20754.55552536362; -4.99045082778e-05; -0.0026080084857
20760.82529276575; -5.10462969365e-05; -0.00261130658955
20767.09506016788; -5.09657496292e-05; -0.00261243712381
20773.36482757001; -5.04608142444e-05; -0.00261431316345
20779.63459497214; -4.97218939703e-05; -0.00261667606144
