% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV646
% Time: 2025/12/08 12:55:22
% Demod 1 Sample X, /dev646/demods/0/sample.X
% Demod 1 Sample Y, /dev646/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample X  Amplitude (V); Demod 1 Sample Y  Amplitude (V)
23239.21548392183; -0.000329387230253; -0.0166450862348
23241.65255071983; -0.000331430378896; -0.0166728499995
23244.08987308992; -0.000333476273733; -0.0166976943726
23246.52745105888; -0.000334907624154; -0.0167231258454
23248.96528465352; -0.000338108907845; -0.0167487116061
23251.40337390065; -0.000340444187364; -0.0167739194209
23253.84171882713; -0.000341947251966; -0.0167989057915
23256.28031945968; -0.000345557578899; -0.0168244119047
23258.71917582516; -0.000347164735068; -0.0168504777824
23261.15828795038; -0.000349493437801; -0.0168768305699
23263.59765586217; -0.000352213408599; -0.016903059162
23266.03727958735; -0.000354628271796; -0.0169288467482
23268.47715915275; -0.000356706603252; -0.0169548105849
23270.9172945852; -0.000359480957444; -0.0169817116403
23273.35768591154; -0.00036181555303; -0.0170091417972
23275.79833315859; -0.000364752981942; -0.0170359075303
23278.23923635319; -0.000367253929911; -0.0170622295706
23280.68039552223; -0.000369735657297; -0.0170900219802
23283.12181069247; -0.000371941679196; -0.0171174445442
23285.56348189079; -0.00037496710583; -0.0171450015517
23288.00540914405; -0.000377765271824; -0.017172558914
23290.4475924791; -0.00038013473068; -0.017200738694
23292.89003192278; -0.000382766922836; -0.0172276353899
23295.33272750197; -0.000385940025353; -0.0172567619171
23297.77567924352; -0.000388564059777; -0.0172847469644
23300.21888717429; -0.000391509636036; -0.017312494152
23302.66235132115; -0.000394503089366; -0.0173417639937
23305.10607171097; -0.00039836705447; -0.0173695943744
23307.55004837062; -0.000400796137563; -0.0173979585337
23309.99428132703; -0.000404968161924; -0.0174284858047
23312.43877060697; -0.000406663281123; -0.0174574272287
23314.88351623737; -0.000409376929907; -0.0174869610668
23317.32851824512; -0.0004123721248; -0.0175168660781
23319.7737766571; -0.000414927142235; -0.0175466841312
23322.21929150021; -0.000418004747078; -0.0175754277642
23324.66506280133; -0.000421392744134; -0.0176065926272
23327.11109058735; -0.000424607962255; -0.0176382089248
23329.55737488519; -0.000427573372491; -0.0176693498243
23332.00391572172; -0.000431170166153; -0.0177004237284
23334.45071312386; -0.000433556995487; -0.017730832067
23336.89776711856; -0.000437084542696; -0.0177628153125
23339.34507773264; -0.000440190140632; -0.0177936847627
23341.79264499305; -0.000443955290397; -0.0178259982271
23344.24046892671; -0.000447168418565; -0.0178578271385
23346.68854956053; -0.000450545858855; -0.0178898080322
23349.13688692144; -0.000453764184097; -0.0179222896822
23351.58548103636; -0.000457145493366; -0.0179544568794
23354.03433193221; -0.000461707262385; -0.0179879651776
23356.48343963591; -0.000464297545941; -0.0180207861567
23358.93280417441; -0.000467960930019; -0.018053275943
23361.38242557464; -0.00047148835661; -0.0180868377923
23363.83230386357; -0.000474706034228; -0.0181203068634
23366.28243906806; -0.000478267560462; -0.0181541148688
23368.73283121509; -0.000482766842894; -0.0181883053357
23371.18348033162; -0.000485872404829; -0.018222826242
23373.63438644458; -0.00048995705717; -0.0182566696781
23376.08554958093; -0.000494079739286; -0.0182923864857
23378.53696976762; -0.000497602210346; -0.0183265520242
23380.98864703161; -0.000501654709149; -0.0183619006798
23383.44058139986; -0.000506413043445; -0.0183974556769
23385.89277289933; -0.000510439164101; -0.0184331099716
23388.34522155699; -0.000514075310558; -0.0184685835328
23390.79792739979; -0.000517555732169; -0.0185043553491
23393.25089045477; -0.000522543135976; -0.0185414257918
23395.7041107488; -0.000526385289075; -0.018577732814
23398.15758830891; -0.000530869348905; -0.0186151102964
23400.61132316207; -0.000535248827775; -0.0186527505872
23403.06531533525; -0.00053945539217; -0.0186907931801
23405.51956485547; -0.000544182950948; -0.0187278244459
23407.97407174969; -0.000548040271956; -0.0187658249047
23410.4288360449; -0.000552182878512; -0.0188048888554
23412.88385776811; -0.000556825453842; -0.0188432203062
23415.33913694631; -0.000561582766816; -0.0188824161892
23417.79467360649; -0.000566586027466; -0.0189209344561
23420.25046777571; -0.000570949835189; -0.018961279694
23422.70651948087; -0.000575510429422; -0.019000531421
23425.16282874903; -0.000580213223462; -0.0190394039602
23427.61939560721; -0.000585466143148; -0.0190799682322
23430.07622008241; -0.000590230467068; -0.0191202942984
23432.53330220165; -0.000595352104567; -0.0191614640428
23434.99064199194; -0.000600092605915; -0.0192022249799
23437.44823948032; -0.000605602991674; -0.0192440637752
23439.9060946938; -0.000610738472063; -0.0192860276742
23442.36420765941; -0.000615368685447; -0.0193284108499
23444.82257840419; -0.000620954077818; -0.0193702281023
23447.28120695521; -0.000626566818965; -0.01941306194
23449.74009333941; -0.000632639113232; -0.01945619899
23452.19923758387; -0.000636957403995; -0.019499593749
23454.65863971566; -0.000642574013582; -0.0195435712972
23457.11829976179; -0.000647796283214; -0.0195875254697
23459.57821774933; -0.000653526209116; -0.0196309453207
23462.03839370532; -0.000660002871328; -0.0196761474823
23464.49882765682; -0.000665438991945; -0.0197203668324
23466.95951963088; -0.000670924386653; -0.0197659298753
23469.42046965455; -0.000677062218474; -0.0198119574273
23471.88167775491; -0.000682731333274; -0.0198572464382
23474.34314395901; -0.000689635365837; -0.0199034869436
23476.80486829397; -0.000695504263344; -0.0199496943728
23479.26685078677; -0.000701231583671; -0.0199968055971
23481.72909146452; -0.000707964196932; -0.0200438235791
23484.1915903543; -0.000713908557366; -0.0200922275047
23486.65434748319; -0.000720467618757; -0.0201423452458
23489.11736287827; -0.000727602330931; -0.0201894452347
23491.58063656662; -0.000734932282439; -0.0202392354566
23494.04416857533; -0.000740599222131; -0.0202869466197
23496.50795893149; -0.000747456879337; -0.0203374968037
23498.9720076622; -0.000754371146969; -0.0203881441481
23501.43631479454; -0.00076208931542; -0.0204388192336
23503.90088035567; -0.00076935942384; -0.0204902605139
23506.36570437259; -0.000775223805668; -0.0205412862738
23508.83078687244; -0.000783191234305; -0.0205930784529
23511.29612788235; -0.000790551227012; -0.0206447522992
23513.76172742942; -0.000797903411838; -0.0206983281813
23516.22758554075; -0.000805578253746; -0.0207511396113
23518.69370224347; -0.000813265886453; -0.0208051552557
23521.16007756469; -0.000820547844581; -0.0208577419483
23523.62671153154; -0.000828266252114; -0.0209122407119
23526.09360417114; -0.000836459900529; -0.020967972199
23528.56075551061; -0.000845179295165; -0.021022922227
23531.02816557714; -0.000852303417186; -0.0210791365557
23533.49583439775; -0.000861186797402; -0.021134948699
23535.96376199964; -0.000870020653446; -0.0211918810416
23538.43194840994; -0.000878652597753; -0.0212494124781
23540.90039365579; -0.000886990711775; -0.0213074254539
23543.36909776433; -0.000895684916589; -0.0213655810007
23545.83806076272; -0.000905291017231; -0.0214247264441
23548.30728267809; -0.000913683226336; -0.0214843714438
23550.77676353761; -0.000922723137331; -0.0215436589314
23553.24650336843; -0.000932022130191; -0.0216048543353
23555.7165021977; -0.000941265484176; -0.021664958365
23558.18676005259; -0.000950735334252; -0.0217265506836
23560.65727696032; -0.00096056789306; -0.0217882825317
23563.12805294794; -0.00097056660294; -0.0218513348407
23565.59908804268; -0.000980884010999; -0.0219147000754
23568.0703822717; -0.00099043400053; -0.0219777503623
23570.54193566219; -0.00100031896817; -0.0220427495449
23573.01374824133; -0.00101152054035; -0.0221088841916
23575.48582003628; -0.00102157407732; -0.022173814221
23577.95815107425; -0.00103255274562; -0.0222406596844
23580.4307413824; -0.00104348837461; -0.0223070198885
23582.90359098794; -0.00105527865845; -0.0223745725433
23585.37669991806; -0.00106621590839; -0.0224435610879
23587.85006819999; -0.0010774857377; -0.0225112076119
23590.32369586084; -0.00108817530978; -0.0225804217041
23592.79758292785; -0.00110013400119; -0.0226509264721
23595.27172942824; -0.00111220760071; -0.0227217379248
23597.74613538921; -0.00112419730502; -0.0227932755588
23600.22080083797; -0.00113642379242; -0.0228653375106
23602.69572580173; -0.00114905115695; -0.0229381033187
23605.1709103077; -0.00116182315592; -0.0230116393659
23607.6463543831; -0.00117498437217; -0.0230852946708
23610.12205805516; -0.00118758928937; -0.0231604416964
23612.5980213511; -0.00120093097559; -0.0232365037876
23615.07424429818; -0.0012148673917; -0.02331338748
23617.55072692355; -0.00122773125138; -0.0233910736309
23620.02746925448; -0.00124206770077; -0.0234696545112
23622.50447131822; -0.00125631456556; -0.0235488346764
23624.98173314199; -0.00127026879447; -0.023628928879
23627.45925475304; -0.00128499328349; -0.0237090795618
23629.93703617862; -0.00129961581958; -0.0237891120144
23632.41507744596; -0.00131513678254; -0.0238723258557
23634.89337858231; -0.00133038730648; -0.0239562678387
23637.37193961494; -0.00134629910558; -0.0240392599838
23639.85076057109; -0.00136158194951; -0.0241257004815
23642.32984147803; -0.00137729808281; -0.0242114892125
23644.80918236306; -0.00139383094672; -0.0242981280402
23647.28878325335; -0.00141088002303; -0.0243849744636
23649.7686441762; -0.00142762602269; -0.0244740296036
23652.2487651589; -0.00144541786663; -0.0245642781989
23654.72914622872; -0.00146226720523; -0.0246548371948
23657.20978741292; -0.00147969017628; -0.0247473805463
23659.6906887388; -0.00149828291046; -0.0248393566747
23662.17185023362; -0.00151706681907; -0.0249330292045
23664.65327192467; -0.00153608473088; -0.0250280711206
23667.13495383924; -0.00155527288636; -0.0251238175295
23669.61689600462; -0.00157457117842; -0.0252218778484
23672.09909844815; -0.00159394322491; -0.025318961664
23674.58156119702; -0.00161437971781; -0.025417251657
23677.06428427859; -0.00163507284537; -0.0255177964382
23679.54726772015; -0.00165619969946; -0.0256192288559
23682.030511549; -0.00167753083717; -0.0257217445304
23684.51401579247; -0.0016986422468; -0.025825811828
23686.99778047784; -0.00172048652824; -0.0259312802345
23689.48180563243; -0.00174285434025; -0.0260367186444
23691.96609128357; -0.001766046955; -0.0261441779617
23694.45063745857; -0.00178916712494; -0.0262539622973
23696.93544418474; -0.00181366514746; -0.0263641488789
23699.42051148947; -0.00183743429077; -0.0264758852053
23701.90583939998; -0.00186287835622; -0.0265886860409
23704.39142794364; -0.0018873263871; -0.0267040668077
23706.8772771478; -0.0019137883279; -0.0268178419547
23709.36338703978; -0.00193899337247; -0.0269357451105
23711.84975764693; -0.00196659884295; -0.0270547315432
23714.33638899658; -0.00199368827119; -0.0271749012053
23716.82328111608; -0.00202123797995; -0.0272974031758
23719.31043403277; -0.00204961378085; -0.0274202484436
23721.79784777401; -0.00207860230452; -0.0275447491498
23724.28552236715; -0.00210767027379; -0.0276713217266
23726.77345783953; -0.00213809948363; -0.0277997033225
23729.26165421858; -0.00216917241838; -0.0279282993626
23731.75011153155; -0.00220070495379; -0.0280605419974
23734.23882980585; -0.00223251786522; -0.0281933091663
23736.72780906886; -0.00226469838983; -0.02832832664
23739.21704934794; -0.00229848462821; -0.0284638704769
23741.70655067046; -0.0023329303848; -0.0286036662991
23744.1963130638; -0.00236745486037; -0.0287440932755
23746.68633655533; -0.00240346078515; -0.0288861566959
23749.17662117245; -0.00243997895849; -0.0290294942418
23751.66716694252; -0.00247683555569; -0.0291759472705
23754.15797389295; -0.00251528133672; -0.0293244664961
23756.64904205116; -0.0025539480926; -0.0294765242226
23759.14037144446; -0.00259390147737; -0.0296290832523
23761.63196210028; -0.00263385290327; -0.0297822415133
23764.12381404602; -0.00267587223347; -0.0299398847478
23766.6159273091; -0.00271811955648; -0.0300997224359
23769.10830191689; -0.00276203860535; -0.0302613576223
23771.60093789683; -0.0028067124218; -0.0304271143438
23774.09383527632; -0.00285252836499; -0.0305917926591
23776.58699408276; -0.00289881677648; -0.0307604973497
23779.08041434358; -0.00294533696245; -0.0309319850317
23781.57409608619; -0.00299581234251; -0.031106705637
23784.06803933806; -0.00304538994857; -0.0312834253851
23786.56224412653; -0.00309701652759; -0.0314617976442
23789.05671047906; -0.0031488849143; -0.0316442800582
23791.55143842308; -0.00320239432466; -0.0318288193184
23794.04642798603; -0.00325706969711; -0.0320171569398
23796.54167919535; -0.00331408978028; -0.0322067624461
23799.03719207846; -0.00337277070578; -0.0324013255758
23801.53296666282; -0.00343157484436; -0.0325979306394
23804.02900297588; -0.00349230643853; -0.0327979026326
23806.52530104506; -0.003554713143; -0.0329999027446
23809.02186089783; -0.00361931368427; -0.0332070956045
23811.51868256163; -0.00368549294115; -0.0334172285716
23814.01576606399; -0.00375233970536; -0.0336309491221
23816.51311143224; -0.00382131818248; -0.0338484098241
23819.0107186939; -0.00389261049982; -0.0340689131112
23821.50858787645; -0.00396682884305; -0.0342934116453
23824.00671900734; -0.00404156289721; -0.0345209961727
23826.50511211405; -0.00411807581561; -0.0347539128276
23829.00376722404; -0.00419901054395; -0.0349898822001
23831.5026843648; -0.00428005015549; -0.03523069955
23834.00186356381; -0.00436479270621; -0.0354767759351
23836.50130484854; -0.00445046046656; -0.0357245618247
23839.00100824648; -0.00453978963981; -0.0359784256541
23841.50097378516; -0.00463146046897; -0.036237670882
23844.00120149199; -0.00472632142913; -0.0364997469224
23846.50169139449; -0.00482219410285; -0.0367675810755
23849.00244352018; -0.00492240591172; -0.0370404812237
23851.50345789654; -0.00502612822562; -0.0373169935556
23854.00473455108; -0.00513187637154; -0.0376015855241
23856.5062735113; -0.00524109900351; -0.0378888016588
23859.00807480471; -0.00535501470732; -0.0381833039006
23861.51013845882; -0.00547179245611; -0.0384831048224
23864.01246450115; -0.00559103870717; -0.0387874917104
23866.5150529592; -0.00571500296972; -0.039098516883
23869.01790386056; -0.00584411577931; -0.0394171060044
23871.52101723264; -0.00597576445975; -0.0397401220797
23874.02439310302; -0.00611219362388; -0.0400706293696
23876.52803149922; -0.00625364198197; -0.0404082439027
23879.03193244878; -0.00639989907538; -0.0407520734874
23881.53609597922; -0.00655062858345; -0.0411025069509
23884.0405221181; -0.00670663646089; -0.0414610215674
23886.54521089293; -0.00686847527421; -0.0418278407121
23889.05016233128; -0.00703576906542; -0.0422009876223
23891.55537646068; -0.00720977117508; -0.0425817877225
23894.06085330868; -0.00738921078537; -0.0429708062751
23896.56659290283; -0.00757587560491; -0.0433700292119
23899.07259527074; -0.00776944648688; -0.0437788091832
23901.57886043985; -0.00797092703213; -0.0441956812136
23904.08538843779; -0.0081794605383; -0.0446222489143
23906.59217929212; -0.00839518369312; -0.0450571234821
23909.0992330304; -0.00862012739184; -0.0455042755404
23911.60654968019; -0.00885344900991; -0.0459598036936
23914.11412926907; -0.00909630732394; -0.0464260968849
23916.62197182462; -0.00934837452069; -0.0469017263368
23919.13007737441; -0.00961049580535; -0.0473888333663
23921.63844594602; -0.00988478863931; -0.0478889090537
