% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV646
% Time: 2025/12/08 12:05:10
% Demod 1 Sample X, /dev646/demods/0/sample.X
% Demod 1 Sample Y, /dev646/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample X  Amplitude (V); Demod 1 Sample Y  Amplitude (V)
25608.57636741981; -0.000124460722275; -0.0233305335359
25610.25403282764; -0.000124683194384; -0.0233675014016
25611.93180814244; -0.000124283941974; -0.0234029427052
25613.60969337142; -0.000124626742422; -0.0234403081929
25615.28768852178; -0.00012476390054; -0.0234758181161
25616.96579360067; -0.000124340120702; -0.0235119367404
25618.64400861539; -0.000124679843028; -0.0235488987727
25620.32233357309; -0.000125963575258; -0.0235847203015
25622.00076848098; -0.000125079172747; -0.0236215367117
25623.67931334625; -0.000124990535401; -0.0236583064875
25625.35796817612; -0.000125579587836; -0.0236953411417
25627.03673297778; -0.000126097093555; -0.0237337436427
25628.71560775845; -0.000126116735375; -0.0237701443861
25630.39459252532; -0.000125763150003; -0.0238083664801
25632.0736872856; -0.000126090167225; -0.0238457007866
25633.75289204645; -0.000126505147399; -0.0238846307936
25635.43220681517; -0.000125959608278; -0.0239222189307
25637.11163159892; -0.000126916600214; -0.0239606590742
25638.79116640491; -0.000127953588526; -0.0239978799115
25640.47081124035; -0.00012708289998; -0.0240360391478
25642.15056611244; -0.000126838291785; -0.0240730140314
25643.83043102838; -0.000127123516639; -0.0241116432112
25645.5104059954; -0.000127937042058; -0.0241510512573
25647.1904910207; -0.000127646243817; -0.0241882177623
25648.87068611144; -0.000127208977324; -0.0242263000859
25650.55099127494; -0.000127994678806; -0.0242660277329
25652.23140651835; -0.000127690226985; -0.0243058956066
25653.91193184887; -0.000128002315839; -0.024345880536
25655.59256727374; -0.000127803714302; -0.0243878098865
25657.27331280016; -0.000128068238552; -0.0244285498866
25658.95416843533; -0.000128656959521; -0.0244699991596
25660.63513418648; -0.000128721884682; -0.0245127755667
25662.31621006082; -0.000128914062511; -0.0245534920566
25663.99739606552; -0.000129378751243; -0.0245966703369
25665.67869220788; -0.000130195064086; -0.024638900475
25667.36009849507; -0.000130217680333; -0.0246811622261
25669.04161493432; -0.000129718516801; -0.0247242027868
25670.72324153283; -0.00013066987504; -0.0247683964384
25672.40497829782; -0.000130602591153; -0.0248134884975
25674.08682523651; -0.000130193579142; -0.0248573526703
25675.76878235612; -0.000131111694905; -0.0249010097946
25677.45084966386; -0.00013126308792; -0.0249462843245
25679.13302716696; -0.000131464604036; -0.0249897611861
25680.81531487258; -0.000131733215421; -0.025035734996
25682.49771278804; -0.000132590764317; -0.0250826803322
25684.18022092052; -0.000132172016475; -0.0251289187557
25685.86283927723; -0.000132656364641; -0.0251740733883
25687.54556786539; -0.000132549063874; -0.025220165398
25689.22840669223; -0.000133423493396; -0.0252659297277
25690.91135576497; -0.000133291472583; -0.025312998561
25692.59441509082; -0.000133981059304; -0.0253592120216
25694.27758467702; -0.000134332934343; -0.0254070696553
25695.96086453073; -0.000134826864417; -0.02545542651
25697.64425465929; -0.000134959788551; -0.0255039869389
25699.32775506986; -0.000134791200983; -0.025552599289
25701.01136576967; -0.000134786131295; -0.0256009151396
25702.69508676594; -0.000136108033456; -0.0256496910565
25704.37891806591; -0.000135529799483; -0.025697925863
25706.06285967679; -0.000136198671754; -0.0257477173208
25707.74691160581; -0.00013661917493; -0.0257970018997
25709.4310738602; -0.000136673001162; -0.0258475498418
25711.11534644719; -0.000137038485858; -0.0258990980157
25712.79972937396; -0.00013725728476; -0.025949542961
25714.48422264783; -0.000137542349073; -0.0260016966138
25716.16882627599; -0.000137845798419; -0.0260519295322
25717.85354026565; -0.000138840258506; -0.0261038949987
25719.53836462406; -0.000138514590689; -0.0261529859189
25721.22329935844; -0.000138641545968; -0.0262040537106
