% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV646
% Time: 2025/12/02 15:00:58
% Demod 1 Sample X, /dev646/demods/0/sample.X
% Demod 1 Sample Y, /dev646/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample X  Amplitude (V); Demod 1 Sample Y  Amplitude (V)
20908.37482893852; -0.000127394341661; -0.0104442684153
20914.23804661164; -0.000127792819029; -0.0104527692788
20920.10126428475; -0.000128181672708; -0.0104595772314
20925.96448195786; -0.000127290649385; -0.0104673753079
20931.82769963098; -0.000129244264106; -0.0104746165008
20937.69091730409; -0.000128323687431; -0.0104822423904
20943.55413497721; -0.000128826354615; -0.0104896709134
20949.41735265032; -0.000127943721825; -0.0104976777156
20955.28057032344; -0.000129085126055; -0.010504875853
20961.14378799655; -0.000130769336022; -0.0105111837492
20967.00700566966; -0.000130794115136; -0.0105204171774
20972.87022334278; -0.000130396873534; -0.0105269973159
20978.73344101589; -0.000131673735464; -0.0105349688889
20984.59665868901; -0.000131682864225; -0.0105414791702
20990.45987636212; -0.000132541564165; -0.0105491738323
20996.32309403523; -0.000131263014928; -0.0105580797188
21002.18631170835; -0.000131890060552; -0.0105652427439
21008.04952938146; -0.000133301449005; -0.010572133642
21013.91274705458; -0.000133260570484; -0.0105797213924
21019.77596472769; -0.000133063864625; -0.0105877723731
21025.63918240081; -0.000134594270354; -0.0105948906099
21031.50240007392; -0.000134873457061; -0.0106032772079
21037.36561774703; -0.000134190726963; -0.0106104363066
21043.22883542015; -0.000134825393687; -0.0106188516174
21049.09205309326; -0.000135847570163; -0.0106270823655
21054.95527076638; -0.000137252088921; -0.0106352533327
21060.81848843949; -0.000137098710862; -0.0106421328978
21066.68170611261; -0.000137984121019; -0.0106498080412
21072.54492378572; -0.000136758126683; -0.0106579480204
21078.40814145883; -0.000137068720268; -0.0106661477027
21084.27135913195; -0.000137522881987; -0.010673433503
21090.13457680506; -0.000136777110872; -0.0106828711451
21095.99779447817; -0.000138029644854; -0.0106891093069
21101.86101215129; -0.000138718908727; -0.0106970410892
21107.7242298244; -0.000139460205223; -0.0107046286288
21113.58744749752; -0.000140173081194; -0.0107130333172
21119.45066517063; -0.000139614525896; -0.0107208150654
21125.31388284374; -0.000140873697338; -0.010728850975
21131.17710051686; -0.000142057895279; -0.0107375074549
21137.04031818997; -0.000141636567786; -0.0107447968771
21142.90353586309; -0.000142283023528; -0.0107524769864
21148.7667535362; -0.000143175783265; -0.0107602569021
21154.62997120932; -0.000142768551843; -0.0107687485197
21160.49318888243; -0.000143269917493; -0.0107774023593
21166.35640655554; -0.000143833577602; -0.0107858967188
21172.21962422866; -0.000144687854391; -0.0107937618863
21178.08284190177; -0.000145137969036; -0.0108017115484
21183.94605957489; -0.000145773499927; -0.0108117612295
21189.809277248; -0.000145187542929; -0.0108189120655
21195.67249492112; -0.000145794300096; -0.0108268849686
21201.53571259423; -0.000146517575654; -0.0108353819235
21207.39893026734; -0.000147520458751; -0.0108434697251
21213.26214794046; -0.000147392680087; -0.0108517871309
21219.12536561357; -0.000147923103414; -0.0108604549964
21224.98858328669; -0.000147514275939; -0.0108693524966
21230.8518009598; -0.000149078877599; -0.0108772078231
21236.71501863292; -0.000150297903279; -0.0108857405456
21242.57823630603; -0.000148910065011; -0.0108948397473
21248.44145397914; -0.000150527915044; -0.0109038033129
21254.30467165226; -0.000150612299643; -0.0109124095497
21260.16788932537; -0.000152170989887; -0.0109198767965
21266.03110699849; -0.000151375818309; -0.0109297194532
21271.8943246716; -0.000151789825189; -0.010938217487
21277.75754234471; -0.000152695642034; -0.0109456289806
21283.62076001783; -0.000153150166277; -0.0109554219687
21289.48397769094; -0.000154710190503; -0.0109630479657
21295.34719536405; -0.000153232315059; -0.0109730721845
21301.21041303717; -0.000154898295848; -0.0109819610708
21307.07363071029; -0.000156024403796; -0.0109907011207
21312.9368483834; -0.000156877839916; -0.0109995396062
21318.80006605651; -0.000155970980999; -0.0110088985109
21324.66328372963; -0.000157120087265; -0.0110182333364
21330.52650140274; -0.00015730547815; -0.011026499401
21336.38971907585; -0.000156858046387; -0.0110350221461
21342.25293674897; -0.000158436145754; -0.0110445197911
21348.11615442208; -0.000157957770341; -0.0110538305382
21353.9793720952; -0.000158343461377; -0.0110634894497
21359.84258976831; -0.000161211762739; -0.0110708554871
21365.70580744143; -0.000160159705819; -0.0110813265222
21371.56902511454; -0.000160053040243; -0.0110914788028
21377.43224278765; -0.000162327457922; -0.0111001576945
21383.29546046077; -0.000162534001431; -0.011109022899
21389.15867813388; -0.000161957547778; -0.0111191758993
21395.021895807; -0.000161674079524; -0.0111281184908
21400.88511348011; -0.000163543814644; -0.0111368160939
21406.74833115323; -0.000164446528396; -0.0111458389044
21412.61154882634; -0.000164436172322; -0.0111564630285
21418.47476649945; -0.000164401464554; -0.0111662524563
21424.33798417257; -0.000165110926999; -0.0111742006837
21430.20120184568; -0.00016649465914; -0.011184571658
21436.0644195188; -0.000166294219623; -0.0111938263832
21441.92763719191; -0.000168292117937; -0.0112030257563
21447.79085486502; -0.000168008839399; -0.011213421468
21453.65407253814; -0.000168272061093; -0.0112237647248
21459.51729021125; -0.000168174097976; -0.011233384632
21465.38050788437; -0.000168817300195; -0.0112427376129
21471.24372555748; -0.000168713822749; -0.0112527594769
21477.1069432306; -0.000171505647922; -0.0112625945946
21482.97016090371; -0.000171572852006; -0.0112710502208
21488.83337857682; -0.000173067000411; -0.0112816746949
21494.69659624994; -0.00017204461184; -0.0112920657715
21500.55981392305; -0.000173816795227; -0.011302364924
21506.42303159616; -0.000174856638445; -0.0113128511834
21512.28624926928; -0.00017361439564; -0.0113221684739
21518.1494669424; -0.0001744674803; -0.0113322321475
21524.01268461551; -0.00017616967776; -0.0113424298921
21529.87590228862; -0.000175699583973; -0.0113535142582
21535.73911996174; -0.000176034884689; -0.0113631283785
21541.60233763485; -0.000177403748092; -0.0113730726449
21547.46555530796; -0.000175788328691; -0.011381961601
21553.32877298108; -0.000174664749589; -0.0113926813551
21559.19199065419; -0.000174341787147; -0.0114027649783
21565.05520832731; -0.000177342076862; -0.011411755912
21570.91842600042; -0.000176840417936; -0.0114238930483
21576.78164367354; -0.000176674906859; -0.0114341581952
21582.64486134665; -0.000176809649579; -0.0114440577217
21588.50807901976; -0.000178497025794; -0.0114544702366
21594.37129669288; -0.000178629954647; -0.011466316054
21600.23451436599; -0.000179709251523; -0.011476995466
21606.09773203911; -0.000180317415028; -0.0114868655353
21611.96094971222; -0.000180887079919; -0.0114987541027
21617.82416738533; -0.000181365311119; -0.0115088030239
21623.68738505845; -0.000183459335557; -0.0115201678304
21629.55060273156; -0.000181890246099; -0.0115314222583
21635.41382040468; -0.000184563433429; -0.0115427294705
21641.27703807779; -0.000184488924024; -0.0115546525933
21647.14025575091; -0.000185467455677; -0.011563345426
21653.00347342402; -0.00018555770072; -0.0115759429039
21658.86669109713; -0.000186136558026; -0.0115862273586
21664.72990877025; -0.000187906271744; -0.0115976101047
21670.59312644336; -0.000188559577786; -0.0116088776511
21676.45634411648; -0.000189662379595; -0.0116190541733
21682.31956178959; -0.000190529432771; -0.0116303044672
21688.18277946271; -0.000190724059335; -0.0116415720332
21694.04599713582; -0.000190395563417; -0.0116543704893
21699.90921480893; -0.000191755353756; -0.011665986879
21705.77243248205; -0.00019341452179; -0.0116767363626
21711.63565015516; -0.000192728182233; -0.0116892301553
21717.49886782828; -0.000194364225514; -0.0117008669764
21723.36208550139; -0.000194967365638; -0.0117125331589
21729.2253031745; -0.000195482974806; -0.0117250288704
21735.08852084762; -0.000196443474955; -0.0117355531638
21740.95173852073; -0.000196895734911; -0.0117474035195
21746.81495619385; -0.000197548649336; -0.0117596122227
21752.67817386696; -0.00019823209056; -0.0117715335485
21758.54139154007; -0.000199095684459; -0.011782756607
21764.40460921319; -0.000200779111317; -0.0117949463555
21770.2678268863; -0.000201736481892; -0.0118081723399
21776.13104455942; -0.000203287220586; -0.0118198278744
21781.99426223253; -0.000202819780839; -0.0118322891386
21787.85747990564; -0.00020422647201; -0.0118450454563
21793.72069757876; -0.000204082701354; -0.0118567747983
21799.58391525187; -0.000206842411757; -0.0118696225723
21805.44713292499; -0.00020616885555; -0.0118818718388
21811.3103505981; -0.000206955779192; -0.0118944136133
21817.17356827122; -0.00020918909171; -0.0119066911557
21823.03678594433; -0.000209349011128; -0.0119201816108
21828.90000361744; -0.000211074895528; -0.0119316845359
21834.76322129056; -0.000211230357483; -0.0119448114813
21840.62643896367; -0.000212407733842; -0.0119572885891
21846.48965663679; -0.000213193258109; -0.0119715759242
21852.3528743099; -0.000213721267712; -0.0119834472672
21858.21609198302; -0.000215050953577; -0.0119968145842
21864.07930965613; -0.000216730202946; -0.0120088456621
21869.94252732924; -0.000216961924023; -0.0120236531943
21875.80574500236; -0.00021779517189; -0.0120357661483
21881.66896267547; -0.00022008060045; -0.0120488502636
