% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV646
% Time: 2026/01/16 17:31:49
% Demod 1 Sample X, /dev646/demods/0/sample.X
% Demod 1 Sample Y, /dev646/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample X  Amplitude (V); Demod 1 Sample Y  Amplitude (V)
21054.79093461518; -2.95036122786e-05; -0.00267538831362
21058.87549311266; -2.98730884159e-05; -0.00267677502686
21062.96005161013; -3.09430915082e-05; -0.00267834376618
21067.04461010761; -3.08182698745e-05; -0.00268002260068
21071.12916860509; -3.09849521846e-05; -0.00268168063688
21075.21372710256; -3.17029871596e-05; -0.00268355473341
21079.29828560004; -3.19690999705e-05; -0.00268487099765
21083.38284409752; -3.24093205824e-05; -0.00268586118475
21087.46740259499; -3.20275170378e-05; -0.00268724360001
21091.55196109247; -3.21540480806e-05; -0.00268931771194
21095.63651958995; -3.31871542599e-05; -0.00269109715473
21099.72107808742; -3.27646231321e-05; -0.00269333973585
21103.8056365849; -3.33359980068e-05; -0.00269431270317
21107.89019508237; -3.42890438857e-05; -0.00269593475386
21111.97475357985; -3.53247586409e-05; -0.00269740658486
21116.05931207733; -3.39526926844e-05; -0.00269906554046
21120.1438705748; -3.43819456008e-05; -0.00270060074199
21124.22842907228; -3.43801073437e-05; -0.00270231719572
21128.31298756976; -3.5426771871e-05; -0.00270336855555
21132.39754606723; -3.55950012032e-05; -0.00270541132211
21136.48210456471; -3.60041551395e-05; -0.00270802305412
21140.56666306219; -3.62997949886e-05; -0.00270862118784
21144.65122155966; -3.68872564014e-05; -0.00271013121577
21148.73578005714; -3.67447858227e-05; -0.00271188218216
21152.82033855461; -3.68292692633e-05; -0.00271343889945
21156.90489705209; -3.69508913127e-05; -0.00271623941856
21160.98945554957; -3.6892286935e-05; -0.00271689269514
21165.07401404704; -3.76477111377e-05; -0.00271849457308
21169.15857254452; -3.79525656573e-05; -0.00271998426857
21173.24313104199; -3.87534235876e-05; -0.00272206001522
21177.32768953947; -3.9481300242e-05; -0.00272288109128
21181.41224803695; -4.03381271276e-05; -0.00272544623994
21185.49680653442; -3.99112863227e-05; -0.00272678510958
21189.5813650319; -4.05713930835e-05; -0.00272877113602
21193.66592352937; -4.14976072705e-05; -0.00273014075809
21197.75048202685; -4.05425626706e-05; -0.00273096955358
21201.83504052433; -4.1531193213e-05; -0.00273381023903
21205.9195990218; -4.14637986325e-05; -0.00273452657659
21210.00415751928; -4.2323489713e-05; -0.0027365182825
21214.08871601675; -4.22070145066e-05; -0.00273853133187
21218.17327451423; -4.2952557414e-05; -0.0027396614672
21222.25783301171; -4.27646811081e-05; -0.00274125390839
21226.34239150918; -4.3577401439e-05; -0.00274446725864
21230.42695000666; -4.3504777399e-05; -0.00274555105493
21234.51150850414; -4.4632964863e-05; -0.00274666998611
21238.59606700161; -4.4229108618e-05; -0.00274878178343
21242.68062549909; -4.44528328988e-05; -0.00275063769077
21246.76518399657; -4.54034080501e-05; -0.00275216552112
21250.84974249404; -4.48057349526e-05; -0.0027536514017
21254.93430099152; -4.57622944972e-05; -0.00275535638827
21259.018859489; -4.66669172981e-05; -0.00275724867953
21263.10341798647; -4.68332930654e-05; -0.00275911434101
21267.18797648395; -4.74664178244e-05; -0.00276159895167
21271.27253498142; -4.71526321769e-05; -0.00276250864762
21275.3570934789; -4.69775662853e-05; -0.00276527876621
21279.44165197638; -4.87000747219e-05; -0.00276653504813
21283.52621047385; -4.96467050474e-05; -0.00276839992614
21287.61076897133; -4.88193486607e-05; -0.00276880642973
21291.69532746881; -5.00482994139e-05; -0.00277140952132
21295.77988596628; -4.99655031512e-05; -0.00277380852375
21299.86444446376; -5.07510897859e-05; -0.00277527195455
21303.94900296123; -5.05605769038e-05; -0.00277585557106
21308.03356145871; -5.09366769052e-05; -0.00277829585093
21312.11811995619; -5.25839135715e-05; -0.00278041686354
21316.20267845366; -5.1708937349e-05; -0.00278296871447
21320.28723695114; -5.2405917484e-05; -0.00278336342873
21324.37179544861; -5.32062114063e-05; -0.00278501771496
21328.45635394609; -5.35005987759e-05; -0.00278883329684
21332.54091244357; -5.39692139483e-05; -0.00279045145155
21336.62547094104; -5.40061388617e-05; -0.00279168495567
21340.71002943852; -5.43027506478e-05; -0.00279303902406
21344.79458793599; -5.5134379788e-05; -0.00279426419961
21348.87914643347; -5.52830069165e-05; -0.00279674168993
21352.96370493095; -5.54163582877e-05; -0.00279913298287
21357.04826342842; -5.57970619703e-05; -0.00280070955476
21361.1328219259; -5.69278342406e-05; -0.00280283650622
21365.21738042338; -5.68209387867e-05; -0.002803879452
21369.30193892085; -5.71319195478e-05; -0.00280654999216
21373.38649741833; -5.77642899884e-05; -0.00280736166425
21377.4710559158; -5.80867030671e-05; -0.00280923566639
21381.55561441328; -5.87195255141e-05; -0.00281166793161
21385.64017291076; -5.9920746947e-05; -0.00281382618475
21389.72473140823; -5.97052114758e-05; -0.00281533101461
21393.80928990571; -5.96649814382e-05; -0.00281802450703
21397.89384840319; -6.04486348913e-05; -0.00281954706275
21401.97840690066; -6.16946768892e-05; -0.00282123000378
21406.06296539814; -6.16305462016e-05; -0.0028230405757
21410.14752389562; -6.18913795523e-05; -0.00282461396324
21414.23208239309; -6.26313153025e-05; -0.00282658130479
21418.31664089057; -6.3182532427e-05; -0.00282953315084
21422.40119938804; -6.31804853208e-05; -0.00283147311092
21426.48575788552; -6.32843052691e-05; -0.00283292818576
21430.570316383; -6.4740922821e-05; -0.00283489414169
21434.65487488047; -6.45745962083e-05; -0.00283649191772
21438.73943337795; -6.50173307793e-05; -0.00283888916959
21442.82399187543; -6.56906471908e-05; -0.00284166802385
21446.9085503729; -6.61462691002e-05; -0.00284282394563
21450.99310887038; -6.69294716239e-05; -0.00284458405707
21455.07766736786; -6.70712198076e-05; -0.00284609299191
21459.16222586533; -6.81321556162e-05; -0.0028485937981
21463.24678436281; -6.85816023603e-05; -0.00284985266128
21467.33134286028; -6.82780143973e-05; -0.00285285275132
21471.41590135776; -7.00252013412e-05; -0.00285388333085
21475.50045985524; -7.02498207117e-05; -0.00285601441276
21479.58501835271; -7.09196079188e-05; -0.00285863060491
21483.66957685019; -7.10334132409e-05; -0.00286074063228
21487.75413534766; -7.0920077464e-05; -0.00286309507877
21491.83869384514; -7.18395867858e-05; -0.00286422249138
21495.92325234262; -7.20679608255e-05; -0.00286654637304
21500.00781084009; -7.26838990307e-05; -0.00286938428437
21504.09236933757; -7.34419850408e-05; -0.00287010470223
21508.17692783504; -7.40908744871e-05; -0.00287350693534
21512.26148633252; -7.48790856979e-05; -0.0028746773191
21516.34604483; -7.53285359035e-05; -0.0028761484727
21520.43060332747; -7.58975195132e-05; -0.00287923848372
21524.51516182495; -7.57269413781e-05; -0.00288190693186
21528.59972032243; -7.66423983342e-05; -0.00288279662129
21532.6842788199; -7.7801687859e-05; -0.00288577729352
21536.76883731738; -7.76175622222e-05; -0.00288787237967
21540.85339581485; -7.7922317048e-05; -0.00288939813098
21544.93795431233; -7.99322245234e-05; -0.00289204718692
21549.02251280981; -7.93766940294e-05; -0.00289396496392
21553.10707130728; -7.98227798022e-05; -0.00289592162771
21557.19162980476; -8.01600995559e-05; -0.0028983981151
21561.27618830224; -8.01529331456e-05; -0.00289953619863
21565.36074679971; -8.219849467e-05; -0.00290264716187
21569.44530529719; -8.24995668277e-05; -0.0029046024921
21573.52986379467; -8.32214459347e-05; -0.00290785914451
21577.61442229214; -8.32763541056e-05; -0.00290788433395
21581.69898078962; -8.43832498801e-05; -0.00291115926392
21585.78353928709; -8.51946738079e-05; -0.00291335595492
21589.86809778457; -8.53488870163e-05; -0.00291528123326
21593.95265628205; -8.61887988905e-05; -0.00291794070319
21598.03721477952; -8.67303202608e-05; -0.0029206798785
21602.121773277; -8.77300299618e-05; -0.00292267950882
21606.20633177448; -8.77207859833e-05; -0.00292431935769
21610.29089027195; -8.86185207625e-05; -0.00292756566103
21614.37544876943; -8.85638645182e-05; -0.00292892435341
21618.46000726691; -8.95181291069e-05; -0.00293069260512
21622.54456576438; -9.03509368794e-05; -0.00293419722576
21626.62912426186; -9.08449226459e-05; -0.00293615749991
21630.71368275933; -9.28861843395e-05; -0.00293826321376
21634.79824125681; -9.20316201016e-05; -0.00294011008413
21638.88279975428; -9.30962647326e-05; -0.00294277284419
21642.96735825176; -9.37037208933e-05; -0.0029447782556
21647.05191674924; -9.45127441713e-05; -0.00294729389232
21651.13647524671; -9.44668648219e-05; -0.00294901867863
21655.22103374419; -9.51389802163e-05; -0.00295123001861
21659.30559224167; -9.61749689753e-05; -0.00295539201421
21663.39015073914; -9.76277927037e-05; -0.00295684663727
21667.47470923662; -9.80835409226e-05; -0.00295850462363
21671.55926773409; -9.84182081768e-05; -0.00296113048547
21675.64382623157; -9.88178757464e-05; -0.00296373356367
21679.72838472905; -9.95641035867e-05; -0.00296541032099
21683.81294322652; -0.000101133705603; -0.00296796072636
21687.897501724; -0.000101289947686; -0.00297029954839
21691.98206022147; -0.000102918671703; -0.00297352750846
21696.06661871895; -0.000102523179424; -0.00297516237295
21700.15117721643; -0.000103354935951; -0.00297879934526
21704.2357357139; -0.000104441492818; -0.00297967723099
21708.32029421138; -0.000105353548418; -0.00298296232411
21712.40485270886; -0.000105854977214; -0.00298563857759
21716.48941120633; -0.000106785548771; -0.00298698508341
21720.57396970381; -0.00010716766409; -0.00298924460177
21724.65852820129; -0.00010811812647; -0.0029931038628
21728.74308669876; -0.000108722560741; -0.00299489608578
21732.82764519624; -0.000109731415266; -0.00299659242415
21736.91220369372; -0.000110240071627; -0.00300043196875
21740.99676219119; -0.000110413681882; -0.00300278552214
21745.08132068867; -0.000111281609696; -0.00300529188788
21749.16587918614; -0.000112354807603; -0.00300705492021
21753.25043768362; -0.000112536681977; -0.00301036631078
21757.3349961811; -0.000114478317859; -0.00301273639134
21761.41955467857; -0.000115283524006; -0.00301494969457
21765.50411317605; -0.000116507211914; -0.00301716581046
21769.58867167353; -0.000117352687484; -0.00302084255119
21773.673230171; -0.000117166452432; -0.00302308749742
21777.75778866848; -0.000117910861554; -0.0030259683259
21781.84234716595; -0.000118613598156; -0.00302789002973
21785.92690566343; -0.000119888685493; -0.00303046707933
21790.01146416091; -0.000121118481566; -0.00303265948419
21794.09602265838; -0.000121372296124; -0.00303520730167
21798.18058115586; -0.00012161862419; -0.00303860790837
21802.26513965333; -0.000123390529565; -0.00304094211634
21806.34969815081; -0.000124160574746; -0.00304349582629
21810.43425664829; -0.000125169992278; -0.00304583784768
21814.51881514576; -0.000125480823499; -0.00304967565372
21818.60337364324; -0.00012769249394; -0.00305147470909
21822.68793214071; -0.000127385616007; -0.00305433230809
21826.77249063819; -0.000129203871584; -0.00305726667289
21830.85704913567; -0.000129521072665; -0.00306003433721
21834.94160763314; -0.00013060996449; -0.00306241271843
21839.02616613062; -0.000131675953909; -0.00306484821277
21843.1107246281; -0.000131935297623; -0.00306791874651
21847.19528312557; -0.000133372063506; -0.00307060856149
21851.27984162305; -0.000134653692475; -0.00307251277568
21855.36440012052; -0.000134741779583; -0.00307588930911
21859.448958618; -0.000135581799459; -0.00307897685033
21863.53351711548; -0.000136537504376; -0.00308093162778
21867.61807561295; -0.000138265268426; -0.0030841234988
21871.70263411043; -0.00013872050456; -0.00308710379163
21875.78719260791; -0.00013985803262; -0.00308895057631
21879.87175110538; -0.000140279401885; -0.00309254742982
21883.95630960286; -0.000141378728166; -0.00309584798985
21888.04086810034; -0.000143335084875; -0.00309816620867
21892.12542659781; -0.000145136745599; -0.00310195310682
21896.20998509529; -0.000144731405948; -0.00310336932364
21900.29454359276; -0.000146136325221; -0.00310736426808
21904.37910209024; -0.000146824509769; -0.00310949655839
21908.46366058772; -0.000147542673899; -0.00311193975053
21912.54821908519; -0.00014893149648; -0.00311623096252
21916.63277758267; -0.000149224063901; -0.00311859092724
21920.71733608015; -0.000151455929862; -0.00312254764675
21924.80189457762; -0.000151677107107; -0.00312451678149
21928.8864530751; -0.000153248217375; -0.00312794772554
21932.97101157258; -0.000154228406258; -0.00313142216976
21937.05557007005; -0.000155704329317; -0.00313343063629
21941.14012856753; -0.000156665606084; -0.00313554967887
21945.224687065; -0.000156635245341; -0.00313897549247
21949.30924556248; -0.000159833860916; -0.00314221841144
21953.39380405996; -0.000158886197653; -0.00314529946334
21957.47836255743; -0.000161120295339; -0.00314829782674
21961.56292105491; -0.000161857300047; -0.00315091960228
21965.64747955238; -0.000163320150688; -0.00315395006799
21969.73203804986; -0.000164842015021; -0.00315812787889
21973.81659654734; -0.000165259326689; -0.00315996068699
21977.90115504481; -0.000167124750557; -0.00316500508038
21981.98571354229; -0.000168491923905; -0.00316677404979
21986.07027203976; -0.000168908968108; -0.00316940977038
21990.15483053724; -0.000170329349295; -0.00317287175296
21994.23938903472; -0.000170881908593; -0.0031764348016
21998.32394753219; -0.000172564776; -0.00317922638096
22002.40850602967; -0.000173397256306; -0.003182709628
22006.49306452715; -0.0001749985937; -0.00318613740178
22010.57762302462; -0.000176577243461; -0.00318899220327
22014.6621815221; -0.000177807974239; -0.0031923394179
22018.74674001957; -0.000179223770438; -0.00319626616321
22022.83129851705; -0.000180600811312; -0.00319921289526
22026.91585701453; -0.000182158814469; -0.00320133343893
22031.000415512; -0.000182392019809; -0.00320538629566
22035.08497400948; -0.000184737226163; -0.00320764602202
22039.16953250696; -0.000185540473974; -0.00321262340776
22043.25409100443; -0.000186925979046; -0.00321469742523
22047.33864950191; -0.000189230971285; -0.00321904868885
22051.42320799939; -0.000189351788246; -0.00322200364594
22055.50776649686; -0.000190790323462; -0.00322449054571
22059.59232499434; -0.000193806108342; -0.00322913615177
