% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV646
% Time: 2025/12/04 15:46:24
% Demod 1 Sample X, /dev646/demods/0/sample.X
% Demod 1 Sample Y, /dev646/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample X  Amplitude (V); Demod 1 Sample Y  Amplitude (V)
22301.26738898701; -0.00016526961399; -0.0125336177318
22304.18871872789; -0.00016193748958; -0.0125413828124
22307.11004846876; -0.000159947761086; -0.0125487176258
22310.03137820963; -0.000159393030834; -0.01255700541
22312.95270795051; -0.000159050053538; -0.0125649550935
22315.87403769138; -0.000159596364592; -0.0125733678308
22318.79536743226; -0.000159682897908; -0.0125827787402
22321.71669717313; -0.000160088156789; -0.0125906918302
22324.63802691401; -0.000159724193269; -0.0125998592392
22327.55935665488; -0.000160347782968; -0.0126078592696
22330.48068639576; -0.000160959807733; -0.0126179338809
22333.40201613663; -0.000160448855493; -0.0126261760566
22336.32334587751; -0.000161502373349; -0.0126334699255
22339.24467561838; -0.000161685206583; -0.0126437100607
22342.16600535925; -0.000162043679485; -0.0126527236199
22345.08733510013; -0.000163136410288; -0.0126613544881
22348.008664841; -0.000163382710892; -0.0126697100572
22350.92999458188; -0.000164152431992; -0.0126802683959
22353.85132432275; -0.000164632602945; -0.0126883217148
22356.77265406363; -0.000164571588379; -0.0126972762791
22359.6939838045; -0.000165084546032; -0.0127070599162
22362.61531354538; -0.000165576134457; -0.0127164548593
22365.53664328625; -0.000166688115612; -0.012724322455
22368.45797302713; -0.000167376564702; -0.0127342516901
22371.379302768; -0.000167539714807; -0.0127437920184
22374.30063250888; -0.000167511393094; -0.0127522141241
22377.22196224975; -0.000168406764762; -0.0127620097484
22380.14329199062; -0.00016816495853; -0.0127717335267
22383.0646217315; -0.000169215205494; -0.0127812216809
22385.98595147237; -0.000169774167729; -0.0127905796424
22388.90728121325; -0.000170073457246; -0.0127998966616
22391.82861095412; -0.000170925552602; -0.0128092407027
22394.74994069499; -0.000171501565005; -0.0128191027905
22397.67127043587; -0.000171631379095; -0.012827452276
22400.59260017674; -0.000172559887776; -0.0128370562395
22403.51392991762; -0.000172370561988; -0.0128478606995
22406.43525965849; -0.00017320262175; -0.0128570399823
22409.35658939937; -0.000174426298043; -0.0128670426052
22412.27791914024; -0.000174600199225; -0.0128770450361
22415.19924888112; -0.000175140178804; -0.0128862677739
22418.12057862199; -0.000175931970989; -0.0128953067845
22421.04190836287; -0.000175690440607; -0.0129059593137
22423.96323810374; -0.000176604549852; -0.0129157745614
22426.88456784461; -0.000177458981396; -0.0129259401613
22429.80589758549; -0.00017811237606; -0.0129350196411
22432.72722732636; -0.000178792014178; -0.0129445415583
22435.64855706724; -0.000179798289665; -0.0129544458019
22438.56988680811; -0.000180031839087; -0.0129639782142
22441.49121654898; -0.000180378913826; -0.012974394082
22444.41254628986; -0.000180492867304; -0.0129854472575
22447.33387603073; -0.000181640633356; -0.0129955051909
22450.25520577161; -0.000181486011219; -0.0130041561443
22453.17653551248; -0.000182818917999; -0.0130149227136
22456.09786525336; -0.000182828154362; -0.0130248104178
22459.01919499423; -0.000184249421793; -0.0130355396989
22461.94052473511; -0.000185424196616; -0.0130451119147
22464.86185447598; -0.000185005802855; -0.0130552193385
22467.78318421686; -0.000186563526317; -0.0130658473255
22470.70451395773; -0.000186424540711; -0.0130749504883
22473.6258436986; -0.000187387149957; -0.0130862214787
22476.54717343948; -0.000188209577197; -0.013097128108
22479.46850318035; -0.000188721012598; -0.0131069207876
22482.38983292123; -0.00018848441244; -0.013117509859
22485.3111626621; -0.000190150383759; -0.0131274707892
22488.23249240298; -0.000189918895137; -0.0131388507027
22491.15382214385; -0.000191001290714; -0.0131494159346
22494.07515188472; -0.000192098866586; -0.013158617156
22496.9964816256; -0.000192754524591; -0.0131708300017
22499.91781136647; -0.000193658074069; -0.013180187238
22502.83914110735; -0.000192906137993; -0.0131916828783
22505.76047084822; -0.000195228719407; -0.0132031495211
22508.6818005891; -0.000195040051244; -0.0132132737574
22511.60313032997; -0.000196632913208; -0.0132233420792
22514.52446007085; -0.000196835415416; -0.0132354310954
22517.44578981172; -0.000197574059302; -0.0132454088265
22520.3671195526; -0.000197780794724; -0.0132566684036
22523.28844929347; -0.000198118103554; -0.0132684960796
22526.20977903434; -0.000199460082541; -0.0132787561973
22529.13110877522; -0.000200289961964; -0.0132905805541
22532.05243851609; -0.000201244847793; -0.0133000462505
22534.97376825697; -0.000201374888501; -0.0133123344027
22537.89509799784; -0.00020208678908; -0.0133234867962
22540.81642773871; -0.000202567710814; -0.0133350479102
22543.73775747959; -0.000203592469873; -0.0133454670111
22546.65908722047; -0.000204485762512; -0.0133574451784
22549.58041696134; -0.000205657130902; -0.0133687754036
22552.50174670222; -0.000205721866983; -0.0133807897477
22555.42307644309; -0.000206145968595; -0.0133909223866
22558.34440618396; -0.000207165331731; -0.0134034220262
22561.26573592484; -0.000209065016628; -0.0134144051785
22564.18706566571; -0.000209692409459; -0.0134264191924
22567.10839540659; -0.000209518733203; -0.0134372799913
22570.02972514746; -0.000210572139827; -0.0134490936952
22572.95105488833; -0.000211862386304; -0.0134607297425
22575.87238462921; -0.00021170286425; -0.0134722607801
22578.79371437008; -0.000212430153204; -0.0134845238706
22581.71504411096; -0.000213305267351; -0.0134971605872
22584.63637385183; -0.000214948856119; -0.0135080820883
22587.55770359271; -0.000215228803205; -0.0135201739817
22590.47903333358; -0.000216204728719; -0.0135322793399
22593.40036307446; -0.000216564326869; -0.0135446705969
22596.32169281533; -0.000217492092078; -0.0135558681414
22599.24302255621; -0.000218876555597; -0.0135678763955
22602.16435229708; -0.000219432421711; -0.0135811979239
22605.08568203795; -0.000220456214065; -0.0135921877929
22608.00701177883; -0.000221743692502; -0.0136043585042
22610.9283415197; -0.000223047022244; -0.0136170592143
22613.84967126058; -0.000222371694342; -0.0136290846219
22616.77100100145; -0.000224019067702; -0.013641370454
22619.69233074232; -0.000224787335397; -0.0136536278738
22622.6136604832; -0.000225669397951; -0.0136672978825
22625.53499022407; -0.000226864633299; -0.0136778765581
22628.45631996495; -0.000227233752969; -0.0136918351103
22631.37764970582; -0.000228194950965; -0.0137056578189
22634.2989794467; -0.000229560465443; -0.0137175932274
22637.22030918757; -0.000230928638651; -0.0137292807117
22640.14163892845; -0.000231131742329; -0.0137418861026
22643.06296866932; -0.000232244982272; -0.0137555529703
22645.9842984102; -0.000233395847445; -0.01376812683
22648.90562815107; -0.000234536924555; -0.0137812063479
22651.82695789194; -0.000235623865428; -0.0137937003476
22654.74828763282; -0.000236180423091; -0.0138072241931
22657.66961737369; -0.000236239461398; -0.0138201672961
22660.59094711457; -0.000237947406318; -0.0138337467227
22663.51227685544; -0.000239470346051; -0.01384634294
22666.43360659632; -0.0002400367367; -0.0138595399244
22669.35493633719; -0.000240828563578; -0.0138726579994
22672.27626607806; -0.000242171800737; -0.0138861189937
22675.19759581894; -0.000243871404769; -0.0138990410351
22678.11892555981; -0.000244140948398; -0.0139121073019
22681.04025530069; -0.000245183043552; -0.013926028045
22683.96158504156; -0.000245322126544; -0.0139397364136
22686.88291478244; -0.000246870501872; -0.0139535751406
22689.80424452331; -0.000248167794603; -0.0139673824193
22692.72557426419; -0.000249270730321; -0.0139809906278
22695.64690400506; -0.000251137149588; -0.0139950959781
22698.56823374594; -0.000251257690391; -0.0140097120636
22701.48956348681; -0.000252539571979; -0.0140222462948
22704.41089322768; -0.00025355681347; -0.0140373170137
22707.33222296856; -0.000254498154719; -0.0140505653374
22710.25355270943; -0.000255979240929; -0.0140644607407
22713.17488245031; -0.000257710338028; -0.0140790435233
22716.09621219118; -0.000257971246687; -0.014093741417
22719.01754193205; -0.000259942574379; -0.0141082652702
22721.93887167293; -0.000260427188242; -0.0141220779163
22724.86020141381; -0.000261794709287; -0.0141361308198
22727.78153115468; -0.000262797662035; -0.014150548699
22730.70286089556; -0.000264578264303; -0.0141647266789
22733.62419063643; -0.000264869803709; -0.014179493093
22736.5455203773; -0.000266869496269; -0.0141950213931
22739.46685011818; -0.000267397326366; -0.0142085056993
22742.38817985905; -0.000269008108665; -0.0142230548246
22745.30950959993; -0.000269080725474; -0.0142385882999
22748.2308393408; -0.000271522266438; -0.0142523696045
22751.15216908167; -0.000273105750114; -0.0142682066797
22754.07349882255; -0.000273732745786; -0.0142838899738
22756.99482856342; -0.000275500977108; -0.0142982993738
22759.9161583043; -0.000276506893667; -0.0143131361408
22762.83748804517; -0.000278091609976; -0.0143287473149
22765.75881778605; -0.000278454582405; -0.0143439384838
22768.68014752692; -0.000280074334447; -0.0143594110077
22771.6014772678; -0.000282035779767; -0.0143750132981
22774.52280700867; -0.000282848906565; -0.014390124891
22777.44413674955; -0.000283986718552; -0.0144057643574
22780.36546649042; -0.000285052594585; -0.0144214811195
22783.28679623129; -0.000286548241311; -0.0144382121745
22786.20812597217; -0.000287798500446; -0.0144540780108
22789.12945571304; -0.000289585096416; -0.0144687801996
22792.05078545392; -0.000290701279016; -0.0144853585327
22794.97211519479; -0.000292727385108; -0.0145014030867
22797.89344493567; -0.000292723004507; -0.0145179012345
22800.81477467654; -0.000295632820946; -0.0145334689525
22803.73610441741; -0.000295783338256; -0.0145507029398
22806.65743415829; -0.000298138579523; -0.0145664091966
22809.57876389916; -0.000299089929839; -0.0145832095025
22812.50009364004; -0.000301032645967; -0.014599350868
22815.42142338091; -0.000301737022901; -0.0146157372127
22818.34275312179; -0.000303052814282; -0.0146331304391
22821.26408286266; -0.000305317955336; -0.0146494918199
22824.18541260354; -0.00030680100242; -0.0146654591312
22827.10674234441; -0.000308094731793; -0.0146838733448
22830.02807208529; -0.000310459858048; -0.0147009053964
22832.94940182616; -0.000311729335996; -0.0147172131388
22835.87073156703; -0.000313319786696; -0.0147347143685
22838.79206130791; -0.000314698167512; -0.014751977127
