% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV646
% Time: 2026/01/16 10:51:02
% Demod 1 Sample X, /dev646/demods/0/sample.X
% Demod 1 Sample Y, /dev646/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample X  Amplitude (V); Demod 1 Sample Y  Amplitude (V)
22500; -0.000123675372798; -0.00695867598078
22502.00133422282; -0.000124859958069; -0.00696375193432
22504.00266844563; -0.000126328746488; -0.00696875313532
22506.00400266845; -0.000126715729183; -0.00697279818448
22508.00533689126; -0.000127508928927; -0.00697812439953
22510.00667111408; -0.000128303962697; -0.00698195440291
22512.00800533689; -0.00012906228248; -0.00698633411363
22514.00933955971; -0.00012987062144; -0.00699119567233
22516.01067378252; -0.000130670014119; -0.00699638940686
22518.01200800534; -0.000132382689492; -0.00700046300443
22520.01334222815; -0.000133211942136; -0.00700555846232
22522.01467645097; -0.000134253150585; -0.0070103256362
22524.01601067378; -0.000134746119491; -0.00701467604827
22526.0173448966; -0.000136475818492; -0.0070194135962
22528.01867911941; -0.000137147795577; -0.0070241877858
22530.02001334223; -0.000138448106352; -0.00702924633447
22532.02134756504; -0.000139251631474; -0.00703391108758
22534.02268178786; -0.000140078729857; -0.00703938758562
22536.02401601067; -0.000141534261778; -0.00704339501478
22538.02535023349; -0.000142146899244; -0.00704826305134
22540.0266844563; -0.000142810224435; -0.00705324521038
22542.02801867912; -0.000144356398654; -0.00705794905766
22544.02935290194; -0.000145322977496; -0.0070629066065
22546.03068712475; -0.000145786848216; -0.00706773575481
22548.03202134756; -0.00014766009935; -0.00707348944713
22550.03335557038; -0.00014861431763; -0.00707782618455
22552.0346897932; -0.000149216098018; -0.00708277151352
22554.03602401601; -0.00015098916064; -0.00708774348726
22556.03735823883; -0.000151904230129; -0.00709222848103
22558.03869246164; -0.00015267077049; -0.00709746650358
22560.04002668446; -0.000154317048682; -0.00710321400058
22562.04136090727; -0.000154963754481; -0.00710775022238
22564.04269513009; -0.00015631543153; -0.00711271988509
22566.0440293529; -0.000157630008048; -0.00711767373619
22568.04536357572; -0.000158164946324; -0.00712255890745
22570.04669779853; -0.000159827871061; -0.00712815796533
22572.04803202135; -0.00016067461588; -0.00713227450312
22574.04936624416; -0.000161695664963; -0.00713765563134
22576.05070046698; -0.000162526718557; -0.0071424414028
22578.05203468979; -0.000164222485841; -0.00714737750941
22580.05336891261; -0.000165359495278; -0.0071525243235
22582.05470313543; -0.000166028429242; -0.00715810770399
22584.05603735824; -0.000167057274052; -0.00716345039674
22586.05737158105; -0.000168890744847; -0.00716925624811
22588.05870580387; -0.000169775329746; -0.00717489173535
22590.06004002668; -0.000170999245965; -0.00717936092574
22592.0613742495; -0.00017218053519; -0.00718461756109
22594.06270847232; -0.000172930920089; -0.00718944088101
22596.06404269513; -0.000174440315474; -0.00719569987141
22598.06537691794; -0.000175620981536; -0.00720133135352
22600.06671114076; -0.000176824316614; -0.00720596324516
22602.06804536358; -0.000177972827754; -0.00721108708477
22604.06937958639; -0.000179738699042; -0.00721650764978
22606.07071380921; -0.000179734194132; -0.00722262773627
22608.07204803202; -0.000181754490217; -0.00722718096293
22610.07338225484; -0.000182489924442; -0.00723248566205
22612.07471647765; -0.00018415360819; -0.00723834680676
22614.07605070047; -0.000185649360379; -0.00724346957366
22616.07738492328; -0.000186982905245; -0.00724945419705
22618.0787191461; -0.000187802999913; -0.00725389614066
22620.08005336891; -0.000189105338871; -0.00725990567711
22622.08138759173; -0.000190583051725; -0.0072658937084
22624.08272181454; -0.000191492465748; -0.00727090637934
22626.08405603736; -0.000192537557868; -0.00727655707988
22628.08539026017; -0.000194458936614; -0.00728245878847
22630.08672448299; -0.000195984563924; -0.00728821935727
22632.08805870581; -0.000197095868146; -0.00729319431305
22634.08939292862; -0.000198811594793; -0.00729902807352
22636.09072715143; -0.000199934344179; -0.00730540388906
22638.09206137425; -0.000201126212478; -0.00731012040191
22640.09339559706; -0.000202843529764; -0.00731582814988
22642.09472981988; -0.00020427507611; -0.00732194952146
22644.0960640427; -0.000205073626161; -0.00732759432199
22646.09739826551; -0.000206593097229; -0.00733319640537
22648.09873248832; -0.000207326021186; -0.00733909172164
22650.10006671114; -0.000208922532819; -0.00734465063617
22652.10140093396; -0.000210232715581; -0.00735074409559
22654.10273515677; -0.000212006276903; -0.0073563382827
22656.10406937959; -0.000213580772604; -0.00736245690755
22658.1054036024; -0.00021471786358; -0.00736756819875
22660.10673782522; -0.000215702389833; -0.00737434042881
22662.10807204803; -0.000217815329476; -0.00737938694138
22664.10940627085; -0.000218905435241; -0.00738563531902
22666.11074049366; -0.000221743177726; -0.00739172415883
22668.11207471648; -0.000221970712599; -0.00739785798305
22670.11340893929; -0.000223873637081; -0.00740352964651
22672.11474316211; -0.000224952733688; -0.00740913826336
22674.11607738492; -0.000226128574219; -0.00741574600699
22676.11741160774; -0.000228412874778; -0.00742171820844
22678.11874583055; -0.000229559217964; -0.00742685941537
22680.12008005337; -0.000231380679817; -0.00743330353265
22682.12141427619; -0.000232863878134; -0.00744009507676
22684.122748499; -0.000234126140749; -0.00744517232039
22686.12408272181; -0.000235417113698; -0.00745233886156
22688.12541694463; -0.000236881820366; -0.00745805029966
22690.12675116745; -0.000238313359482; -0.00746417976944
22692.12808539026; -0.000240278343237; -0.00747051214158
22694.12941961308; -0.000241896049327; -0.00747675248664
22696.13075383589; -0.000243249312322; -0.00748289943421
22698.1320880587; -0.000245207456286; -0.00748922159659
22700.13342228152; -0.000246114854358; -0.00749593305393
22702.13475650434; -0.00024792064491; -0.00750199292748
22704.13609072715; -0.000249260350249; -0.00750787616658
22706.13742494997; -0.000251030284288; -0.00751468047833
22708.13875917278; -0.000252536040313; -0.00752048006631
22710.1400933956; -0.000254630024377; -0.00752694918126
22712.14142761841; -0.000256360469697; -0.00753339327169
22714.14276184123; -0.000257100795837; -0.00754087224633
22716.14409606404; -0.000258988544255; -0.00754680882381
22718.14543028686; -0.00026039777659; -0.0075528350358
22720.14676450967; -0.000262738907193; -0.00756038437191
22722.14809873249; -0.000264200075888; -0.00756666798744
22724.1494329553; -0.000266391889122; -0.00757251270921
22726.15076717812; -0.000268000880394; -0.00757921758392
22728.15210140093; -0.000269299203756; -0.00758553640241
22730.15343562375; -0.000271361639984; -0.00759208248723
22732.15476984657; -0.000273518704567; -0.00759894001036
22734.15610406938; -0.000274475581808; -0.00760560003758
22736.15743829219; -0.000276549531662; -0.00761199923538
22738.15877251501; -0.000278314997483; -0.00761891352009
22740.16010673783; -0.000279871015228; -0.00762604559937
22742.16144096064; -0.000282192936171; -0.00763264178261
22744.16277518346; -0.000283482094018; -0.00763920957689
22746.16410940627; -0.000285062896117; -0.00764652140306
22748.16544362908; -0.00028716556869; -0.00765301097677
22750.1667778519; -0.000288691425695; -0.00765984360231
22752.16811207472; -0.000290746430893; -0.00766651690241
22754.16944629753; -0.00029241949793; -0.00767418406075
22756.17078052035; -0.000295173576985; -0.00768159206137
22758.17211474316; -0.000296765731324; -0.00768769958391
22760.17344896598; -0.000298647860816; -0.00769529553784
22762.17478318879; -0.000300316167861; -0.00770176929825
22764.17611741161; -0.000302323317681; -0.00770956950518
22766.17745163442; -0.000304378780271; -0.00771636593528
22768.17878585724; -0.00030621237876; -0.00772298791649
22770.18012008005; -0.000307606834575; -0.00773008758601
22772.18145430287; -0.000310094144272; -0.00773702877664
22774.18278852568; -0.000311652414818; -0.00774469419665
22776.1841227485; -0.000313792084305; -0.00775241630323
22778.18545697131; -0.000316567290817; -0.00775934363944
22780.18679119413; -0.000316682927473; -0.00776680695693
22782.18812541695; -0.000320368682102; -0.00777349236444
22784.18945963976; -0.000322093148489; -0.00778104860188
22786.19079386257; -0.000324026713641; -0.0077886165961
22788.19212808539; -0.000326212277401; -0.00779599092032
22790.19346230821; -0.000327853063744; -0.00780295521629
22792.19479653102; -0.000329845369198; -0.00780968091307
22794.19613075384; -0.000332650401906; -0.00781817387346
22796.19746497665; -0.000334414724019; -0.00782511840391
22798.19879919946; -0.00033663120676; -0.00783293546162
22800.20013342228; -0.000338605590496; -0.00784017822834
22802.2014676451; -0.000340812938568; -0.00784850403934
22804.20280186791; -0.00034279415194; -0.00785582115151
22806.20413609073; -0.000345330771804; -0.0078633505608
22808.20547031354; -0.00034797632646; -0.00787077209354
22810.20680453636; -0.00034925786035; -0.00787862691395
22812.20813875917; -0.000351886006679; -0.00788639274978
22814.20947298199; -0.000354593970536; -0.00789349039334
22816.2108072048; -0.000356238828553; -0.00790184338427
22818.21214142762; -0.000358358859451; -0.00790942291689
22820.21347565043; -0.000360717945235; -0.00791794968115
22822.21480987325; -0.000363099907885; -0.00792477554698
22824.21614409606; -0.000365256793388; -0.00793321125663
22826.21747831888; -0.000367520943043; -0.00794075881756
22828.21881254169; -0.000370127182135; -0.00794909079227
22830.22014676451; -0.000372696450082; -0.00795686661562
22832.22148098733; -0.000375122770674; -0.00796392137388
22834.22281521014; -0.000376534245657; -0.007972416487
22836.22414943295; -0.000379730150116; -0.0079810279697
22838.22548365577; -0.000382083016811; -0.00798903286357
22840.22681787859; -0.000384826243096; -0.0079971423147
22842.2281521014; -0.00038660992487; -0.00800521329105
22844.22948632422; -0.000389549143576; -0.00801348867602
22846.23082054703; -0.000391553038427; -0.00802148288135
22848.23215476984; -0.000394464984128; -0.00803027402563
22850.23348899266; -0.000396939904186; -0.00803850791439
22852.23482321548; -0.000398956888839; -0.00804666960265
22854.23615743829; -0.000401362632676; -0.00805478565765
22856.23749166111; -0.000404323510616; -0.00806412855322
22858.23882588392; -0.000406686967693; -0.00807192255368
22860.24016010674; -0.000409544854619; -0.0080799323263
22862.24149432955; -0.000411811093842; -0.00808917444212
22864.24282855237; -0.000414638708412; -0.00809689649124
22866.24416277518; -0.000417743363104; -0.0081059229192
22868.245496998; -0.000419924239643; -0.0081141086845
22870.24683122081; -0.000422721413777; -0.00812355332068
22872.24816544363; -0.000425516567498; -0.00813200877599
22874.24949966644; -0.00042815287302; -0.00814065550251
22876.25083388926; -0.00043061889372; -0.0081500453269
22878.25216811207; -0.000433245053866; -0.00815815150637
22880.25350233489; -0.000436231527481; -0.00816678640518
22882.25483655771; -0.000438859705272; -0.00817598698825
22884.25617078052; -0.000441931220181; -0.008184795053
