% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV646
% Time: 2026/01/19 11:03:06
% Demod 1 Sample X, /dev646/demods/0/sample.X
% Demod 1 Sample Y, /dev646/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample X  Amplitude (V); Demod 1 Sample Y  Amplitude (V)
25250; -0.000235250022186; -0.0185285440524
25255.01002004008; -0.000234886826831; -0.018573201545
25260.02004008016; -0.00023521965216; -0.0186182121047
25265.03006012024; -0.000235900819274; -0.0186626787742
25270.04008016032; -0.000235111666527; -0.0187076012034
25275.0501002004; -0.000234504873058; -0.0187528365979
25280.06012024048; -0.000235895097201; -0.0187988585827
25285.07014028056; -0.000234954997026; -0.0188456641334
25290.08016032064; -0.00023505917043; -0.0188932216408
25295.09018036072; -0.000236054551652; -0.018940741919
25300.1002004008; -0.000236791547579; -0.0189880473465
25305.11022044088; -0.000235726437654; -0.0190360034134
25310.12024048096; -0.000236095902474; -0.0190847609768
25315.13026052104; -0.000235624470976; -0.0191344152938
25320.14028056112; -0.000235578859245; -0.0191848102813
25325.1503006012; -0.000236605963497; -0.0192340489806
25330.16032064128; -0.000237383096857; -0.0192861029381
25335.17034068136; -0.000235803155029; -0.019338153511
25340.18036072144; -0.000236148291156; -0.0193888454967
25345.19038076152; -0.000236555705705; -0.0194412830234
25350.2004008016; -0.000238070791157; -0.0194954855941
25355.21042084168; -0.000238039483365; -0.0195494961828
25360.22044088176; -0.000236632091512; -0.019603469563
25365.23046092184; -0.000237555805592; -0.0196579361714
25370.24048096193; -0.000237214395538; -0.0197138955291
25375.250501002; -0.000238029070973; -0.0197706775145
25380.26052104208; -0.000238222392771; -0.0198256311463
25385.27054108217; -0.000237679226872; -0.0198844532996
25390.28056112224; -0.000238005141604; -0.0199414393244
25395.29058116232; -0.000238194217411; -0.0200004628821
25400.30060120241; -0.000238685190311; -0.0200605618463
25405.31062124249; -0.000237766143924; -0.0201199932657
25410.32064128256; -0.000239082113399; -0.0201809347129
25415.33066132265; -0.000239248657472; -0.0202424976997
25420.34068136273; -0.000239602032335; -0.0203061567569
25425.35070140281; -0.00023927935857; -0.0203680169559
25430.36072144288; -0.000238291013387; -0.0204310666693
25435.37074148297; -0.000238722099335; -0.0204964285698
25440.38076152305; -0.000240095761094; -0.0205591029439
25445.39078156312; -0.000239462238138; -0.020625389179
25450.40080160321; -0.000239911590187; -0.0206922142877
25455.41082164329; -0.000239157894749; -0.0207609352279
25460.42084168337; -0.000240799235665; -0.020829893194
25465.43086172345; -0.000239383873861; -0.0208982784114
25470.44088176353; -0.000239645289644; -0.0209697307931
25475.45090180361; -0.00024009969404; -0.0210397604107
25480.46092184369; -0.000241045720799; -0.0211118188797
25485.47094188377; -0.000241581355854; -0.0211837096888
25490.48096192385; -0.000241426906258; -0.0212571898992
25495.49098196393; -0.000241161771861; -0.0213327531982
25500.50100200401; -0.00024163008311; -0.0214084924948
25505.51102204409; -0.000241431418299; -0.0214854658331
25510.52104208417; -0.000242708527631; -0.0215618525412
25515.53106212425; -0.000241608752457; -0.021642178235
25520.54108216433; -0.000242609679089; -0.0217207594539
25525.55110220441; -0.000241087608322; -0.0218010944722
25530.56112224449; -0.000241640301062; -0.0218843707776
25535.57114228457; -0.000243061069532; -0.0219657289221
25540.58116232465; -0.000242434918907; -0.0220506713092
25545.59118236473; -0.000242991207928; -0.0221361088641
25550.60120240481; -0.000242683313015; -0.0222211956328
25555.61122244489; -0.000243870445467; -0.0223098654927
25560.62124248497; -0.000244257347529; -0.0223978117929
25565.63126252505; -0.000244325923016; -0.022487916074
25570.64128256513; -0.000244642223879; -0.0225805758415
25575.65130260521; -0.000243857067234; -0.0226726493319
25580.66132264529; -0.000244790010653; -0.0227663493449
25585.67134268537; -0.000245469110903; -0.0228612004597
