% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV646
% Time: 2026/01/19 13:57:14
% Demod 1 Sample X, /dev646/demods/0/sample.X
% Demod 1 Sample Y, /dev646/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample X  Amplitude (V); Demod 1 Sample Y  Amplitude (V)
22500; -0.00034222369253; -0.0136392882248
22507.01402805611; -0.000346627947022; -0.0136693207515
22514.02805611222; -0.000350019826135; -0.0136983655824
22521.04208416834; -0.000354578774143; -0.0137291415757
22528.05611222445; -0.000359149178231; -0.0137589423963
22535.07014028056; -0.000364327904336; -0.0137897355069
22542.08416833667; -0.000367805882706; -0.0138210635942
22549.09819639278; -0.000372849837496; -0.0138522575847
22556.1122244489; -0.000377930235225; -0.0138834417003
22563.12625250501; -0.00038257285795; -0.0139163115365
22570.14028056112; -0.000386507870389; -0.0139482781653
22577.15430861724; -0.000392649579862; -0.0139798078769
22584.16833667335; -0.000396610096962; -0.0140148559968
22591.18236472946; -0.00040206698349; -0.0140473519824
22598.19639278557; -0.000407715605708; -0.0140799179739
22605.21042084168; -0.000413375184852; -0.0141141824173
22612.2244488978; -0.000417631930182; -0.0141483244047
22619.23847695391; -0.000423105436034; -0.0141837997305
22626.25250501002; -0.00043019807269; -0.0142186611455
22633.26653306613; -0.000434668843512; -0.0142553451076
22640.28056112224; -0.000439592082903; -0.0142899429714
22647.29458917836; -0.00044661280514; -0.0143256035197
22654.30861723447; -0.000452506201937; -0.0143626426099
22661.32264529058; -0.000458789570197; -0.0143997504797
22668.33667334669; -0.000465603236468; -0.0144359825396
22675.35070140281; -0.000470159484188; -0.0144748025605
22682.36472945892; -0.000478180003586; -0.0145127632746
22689.37875751503; -0.000484095680737; -0.0145504157316
22696.39278557114; -0.000489801390286; -0.0145900701033
22703.40681362725; -0.000497117067938; -0.0146289320161
22710.42084168337; -0.000503966171874; -0.0146688074573
22717.43486973948; -0.000512001358481; -0.0147101223634
22724.44889779559; -0.000520443156638; -0.0147501648126
22731.46292585171; -0.000527990789342; -0.0147916544231
22738.47695390782; -0.000535894532752; -0.0148348384317
22745.49098196393; -0.000543607285537; -0.0148768703133
22752.50501002004; -0.000549608785825; -0.014919476721
22759.51903807615; -0.00055681577654; -0.0149609259883
22766.53306613227; -0.000564377087342; -0.0150050399236
22773.54709418838; -0.000571563815584; -0.0150487805454
22780.56112224449; -0.000580349012708; -0.0150932052591
22787.5751503006; -0.00058805088341; -0.0151377996551
22794.58917835671; -0.000597094930298; -0.0151842431022
22801.60320641283; -0.000607126204958; -0.0152311582879
22808.61723446894; -0.00061508126054; -0.0152771695534
22815.63126252505; -0.000623821327309; -0.0153240184005
22822.64529058116; -0.000631804045545; -0.0153728806071
22829.65931863727; -0.000641967165088; -0.0154225616153
22836.67334669339; -0.000650956089813; -0.0154715661209
22843.6873747495; -0.00066186120815; -0.0155217267642
22850.70140280561; -0.000671861562531; -0.0155734464828
22857.71543086172; -0.000683086995487; -0.0156239078125
22864.72945891783; -0.000693117556037; -0.015676064542
22871.74348697395; -0.000704265791235; -0.0157286078294
22878.75751503006; -0.000715268253189; -0.0157827304773
22885.77154308617; -0.000726261414319; -0.0158360722051
22892.78557114229; -0.000738342504915; -0.0158908789469
22899.7995991984; -0.000749556845061; -0.0159455119123
22906.81362725451; -0.000762231378245; -0.0160015053753
22913.82765531062; -0.000773946497735; -0.0160591166988
22920.84168336673; -0.000785522404112; -0.0161169451711
22927.85571142285; -0.000799470506417; -0.0161767607226
22934.86973947896; -0.000812361458676; -0.0162353114922
22941.88376753507; -0.000824746360934; -0.0162955472356
22948.89779559118; -0.000839866917043; -0.0163556629561
22955.91182364729; -0.000853508833124; -0.0164183892839
