% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV646
% Time: 2026/01/30 17:11:06
% Demod 1 Sample X, /dev646/demods/0/sample.X
% Demod 1 Sample Y, /dev646/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample X  Amplitude (V); Demod 1 Sample Y  Amplitude (V)
23639.49296179877; -0.00152188217365; -0.0151088332591
23647.10002145542; -0.001600131706; -0.0153729654213
23654.70708111208; -0.00168218743262; -0.0156486502834
23662.31414076873; -0.00177234491658; -0.015937445371
23669.92120042538; -0.00186939867275; -0.0162397247242
23677.52826008204; -0.00197599010074; -0.0165582765596
23685.13531973869; -0.00208987393201; -0.0168931478285
23692.74237939535; -0.00221139848409; -0.0172460809555
23700.349439052; -0.00234735521091; -0.0176196860519
23707.95649870866; -0.0024946040563; -0.0180104661672
23715.56355836531; -0.00265511423559; -0.0184255361494
23723.17061802196; -0.00283066936134; -0.0188638453208
23730.77767767862; -0.00302417133309; -0.0193279377899
23738.38473733527; -0.00323707091694; -0.0198218701547
23745.99179699193; -0.00347287670921; -0.0203454558262
23753.59885664858; -0.00373403571501; -0.0209013533077
23761.20591630524; -0.00402468850371; -0.0214951772484
23768.81297596189; -0.00434984009554; -0.0221289695693
23776.42003561854; -0.00471171787269; -0.0228057539185
23784.0270952752; -0.00512105507464; -0.0235323206359
23791.63415493185; -0.00558357730739; -0.0243063604339
23799.24121458851; -0.00610922768494; -0.0251427727302
23806.84827424516; -0.00670811610677; -0.0260386917745
23814.45533390182; -0.00739365812045; -0.0270025727551
23822.06239355847; -0.0081859877047; -0.028039856495
23829.66945321512; -0.00910463140568; -0.0291579396764
23837.27651287178; -0.0101732537995; -0.0303593533992
23844.88357252843; -0.0114324725189; -0.0316483351075
23852.49063218509; -0.0129148396837; -0.0330233799693
23860.09769184174; -0.0146801400918; -0.0344837399206
23867.70475149839; -0.0167899650082; -0.0360121952274
23875.31181115505; -0.0193269727836; -0.0375747445074
23882.9188708117; -0.0223966616954; -0.0391281632845
23890.52593046836; -0.02611679772; -0.0405724140737
23898.13299012501; -0.0306241955906; -0.0417523217923
23905.74004978167; -0.0360468395995; -0.0424240025278
23913.34710943832; -0.0424631790268; -0.0422081119363
23920.95416909497; -0.0498201465593; -0.0405798620259
23928.56122875163; -0.0577835401316; -0.0368991195501
23936.16828840828; -0.0655908051041; -0.0305696110308
23943.77534806494; -0.0719948426505; -0.0213850155182
23951.38240772159; -0.0755651346195; -0.00993032105313
23958.98946737825; -0.075334385551; 0.00231545097841
23966.5965270349; -0.0713954489123; 0.0135319662598
23974.20358669155; -0.0648160456536; 0.0223567707356
23981.81064634821; -0.0570336515456; 0.0283415324871
23989.41770600486; -0.0492082708858; 0.0317687503569
23997.02476566152; -0.0420386785942; 0.0332503647275
24004.63182531817; -0.0358070943994; 0.0334018123977
24012.23888497483; -0.0305443795388; 0.0327304899101
24019.84594463148; -0.0261671254059; 0.0315830635849
24027.45300428813; -0.0225458644875; 0.0301882522699
