% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV646
% Time: 2026/01/30 11:12:11
% Demod 1 Sample X, /dev646/demods/0/sample.X
% Demod 1 Sample Y, /dev646/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample X  Amplitude (V); Demod 1 Sample Y  Amplitude (V)
22659.79879638599; -0.000223785341432; -0.00725215001651
22664.81097786649; -0.000226181814828; -0.00726995108712
22669.82315934699; -0.00022865948454; -0.00728808279662
22674.8353408275; -0.000232413503069; -0.00730669109272
22679.84752230801; -0.000234034355743; -0.00732381842692
22684.85970378851; -0.000237846705722; -0.0073420136991
22689.87188526901; -0.000239408307932; -0.0073611041021
22694.88406674952; -0.000242540094704; -0.00738008327889
22699.89624823002; -0.000246570885889; -0.00739954967659
22704.90842971053; -0.00024837036235; -0.00741708217082
22709.92061119104; -0.000251230700928; -0.00743635021636
22714.93279267154; -0.000254030694641; -0.00745610487741
22719.94497415204; -0.000257363832681; -0.00747577507903
22724.95715563255; -0.000260394780701; -0.00749618530024
22729.96933711306; -0.000263266038435; -0.00751537292209
22734.98151859356; -0.000266185824632; -0.0075352340309
22739.99370007406; -0.000269873908217; -0.00755655963199
22745.00588155457; -0.000272779416595; -0.00757653115138
22750.01806303507; -0.000276488269708; -0.00759719438659
22755.03024451558; -0.000280654954147; -0.00761970555174
22760.04242599609; -0.000284585445511; -0.00763743256383
22765.05460747659; -0.000287976636459; -0.00766129732543
22770.06678895709; -0.000290549310532; -0.00768419278862
22775.0789704376; -0.000293606885088; -0.00770551829478
22780.0911519181; -0.000297973678238; -0.00772810002101
22785.10333339861; -0.000301532716821; -0.00775127557674
22790.11551487911; -0.00030516260388; -0.00777327046595
22795.12769635962; -0.000310035688204; -0.00779518297868
22800.13987784012; -0.000313360664666; -0.00781856239764
22805.15205932063; -0.000317707866074; -0.00784204424876
22810.16424080113; -0.000321721108162; -0.00786682347084
22815.17642228164; -0.000325491166997; -0.00788947384344
22820.18860376214; -0.000329170357301; -0.00791506518669
22825.20078524265; -0.000334572182735; -0.00793843557322
22830.21296672315; -0.000338293844339; -0.00796364031816
22835.22514820366; -0.000343668550847; -0.00798779868543
22840.23732968417; -0.000347099550673; -0.00801267372397
22845.24951116467; -0.000350832882213; -0.00803967290446
22850.26169264517; -0.000357530797285; -0.00806467853071
22855.27387412568; -0.0003613165475; -0.00809135278724
22860.28605560618; -0.000366388860907; -0.00811680398294
22865.29823708669; -0.000371463857892; -0.00814465898723
22870.31041856719; -0.000376946918951; -0.0081713809979
22875.3226000477; -0.000382385379756; -0.00819891547568
22880.3347815282; -0.000386130108922; -0.0082263084078
22885.34696300871; -0.000392937109248; -0.00825472705793
22890.35914448921; -0.000398403851381; -0.00828273332277
22895.37132596972; -0.000402691748556; -0.00831238711596
22900.38350745022; -0.000409671861438; -0.0083415802808
22905.39568893073; -0.000415884897028; -0.00836956357969
22910.40787041123; -0.000420842480254; -0.00840032683901
22915.42005189174; -0.000425919421113; -0.0084310291473
22920.43223337224; -0.000433340474925; -0.00846092251346
22925.44441485275; -0.000438818037906; -0.00849245852746
22930.45659633325; -0.000446006193383; -0.00852365455506
22935.46877781376; -0.000450722026301; -0.00855493096326
22940.48095929426; -0.000459009458674; -0.00858666637027
22945.49314077477; -0.000465653993443; -0.00862094288851
22950.50532225527; -0.000473159619005; -0.00865283255196
22955.51750373578; -0.000479739221383; -0.0086869063783
22960.52968521628; -0.000487319034623; -0.00872050453176
22965.54186669679; -0.000494757782458; -0.00875391087908
22970.55404817729; -0.000501173631644; -0.00878935842832
22975.5662296578; -0.000509045030137; -0.00882424045186
22980.5784111383; -0.000517128034352; -0.00886087997963
22985.59059261881; -0.000526118039863; -0.0088965123276
22990.60277409931; -0.00053392161623; -0.00893318459123
22995.61495557982; -0.000544160839016; -0.0089712171498
23000.62713706032; -0.000551541962718; -0.0090089884431
23005.63931854083; -0.000559570119455; -0.00904710985571
23010.65150002133; -0.000568800546948; -0.00908662079984
23015.66368150184; -0.000577872598789; -0.00912629936037
23020.67586298234; -0.000588059437132; -0.00916588730837
23025.68804446285; -0.00059836316861; -0.00920740605032
23030.70022594335; -0.000607542171059; -0.00924805775079
23035.71240742386; -0.000616813001669; -0.00928915152497
23040.72458890436; -0.000628787706462; -0.00933209418763
23045.73677038487; -0.000639365303632; -0.00937527334836
23050.74895186537; -0.000649912449596; -0.00941874371519
23055.76113334588; -0.000660514681042; -0.0094642600447
23060.77331482638; -0.000672243819548; -0.00950923891691
23065.78549630689; -0.000683435624206; -0.00955390265936
23070.79767778739; -0.00069556307311; -0.00960069548131
23075.8098592679; -0.000707943550559; -0.00964830801646
23080.8220407484; -0.000720715105609; -0.00969560304275
23085.83422222891; -0.00073408340259; -0.00974468458594
23090.84640370941; -0.000747323663583; -0.00979486992247
23095.85858518992; -0.000760726153053; -0.00984487246422
23100.87076667042; -0.000774738854492; -0.00989563951516
23105.88294815093; -0.000789805906185; -0.00994742467668
23110.89512963143; -0.000804065860703; -0.010001713
23115.90731111194; -0.000818625088662; -0.0100541832519
23120.91949259244; -0.000833852876579; -0.010108783952
23125.93167407295; -0.000851433258648; -0.01016461216
23130.94385555345; -0.000866814381531; -0.010221783658
23135.95603703396; -0.000884705456895; -0.010279342661
23140.96821851446; -0.00090199630128; -0.0103375830561
23145.98039999497; -0.000920200713516; -0.0103986041508
23150.99258147547; -0.000937622524545; -0.0104577877228
23156.00476295598; -0.000956734246083; -0.0105195018412
23161.01694443648; -0.000975780429913; -0.0105818661766
23166.02912591699; -0.000996955676001; -0.010645979493
23171.04130739749; -0.00101638432815; -0.0107113762383
23176.05348887799; -0.00103749926584; -0.0107770559188
23181.0656703585; -0.00106054284968; -0.0108450127108
23186.07785183901; -0.0010823824419; -0.0109142216329
23191.09003331951; -0.00110674834437; -0.0109840195955
23196.10221480002; -0.00113024457916; -0.011054501111
23201.11439628052; -0.00115534491269; -0.0111283137137
23206.12657776102; -0.00118157682119; -0.0112031295763
23211.13875924153; -0.00120601647888; -0.0112790273126
23216.15094072204; -0.00123366913065; -0.0113561846187
23221.16312220254; -0.00126163056884; -0.0114354859876
23226.17530368305; -0.00129059508463; -0.0115167319326
23231.18748516355; -0.0013218859475; -0.0115979988892
23236.19966664406; -0.00135259726377; -0.0116819256168
23241.21184812456; -0.00138476113299; -0.0117673168233
23246.22402960507; -0.00141784845898; -0.0118539461781
23251.23621108557; -0.00145244319739; -0.0119435700013
23256.24839256607; -0.0014890162546; -0.0120353717088
23261.26057404658; -0.00152577705558; -0.0121280578586
23266.27275552709; -0.00156363341386; -0.012224011866
23271.28493700759; -0.00160425672215; -0.0123200752398
23276.2971184881; -0.00164574267433; -0.0124189564824
23281.3092999686; -0.00168788423451; -0.0125192290381
23286.3214814491; -0.00173008852929; -0.0126226077615
23291.33366292961; -0.00177496237229; -0.0127220919593
23296.34584441012; -0.00182269718011; -0.0128320254264
23301.35802589062; -0.00187203763801; -0.0129424369416
23306.37020737112; -0.00192296796328; -0.0130557225463
23311.38238885163; -0.00197663041014; -0.0131716751406
23316.39457033214; -0.00203190764821; -0.013291349698
23321.40675181264; -0.00209106850312; -0.0134117309124
23326.41893329315; -0.00215134615664; -0.0135376960388
23331.43111477365; -0.00221343635135; -0.0136646214441
23336.44329625415; -0.00227995157865; -0.0137964341601
23341.45547773466; -0.00234887037269; -0.0139306821263
23346.46765921517; -0.00242022064816; -0.0140693122086
23351.47984069567; -0.00249473151751; -0.0142097849459
23356.49202217617; -0.00257280247984; -0.014355272501
23361.50420365668; -0.00265474191249; -0.0145033869235
23366.51638513718; -0.00273954081363; -0.0146552504991
23371.52856661769; -0.0028303531065; -0.0148112819763
23376.5407480982; -0.00292195896397; -0.014973657959
23381.5529295787; -0.00302205070888; -0.0151400619124
