% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV646
% Time: 2026/02/03 14:01:27
% Demod 1 Sample X, /dev646/demods/0/sample.X
% Demod 1 Sample Y, /dev646/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample X  Amplitude (V); Demod 1 Sample Y  Amplitude (V)
22484.71139061542; -0.000496309643143; -0.0077209093685
22489.50622069767; -0.00050272481632; -0.00773350543473
22494.30105077992; -0.000502836752692; -0.00776148295223
22499.09588086216; -0.000509710383434; -0.00778139927467
22503.89071094441; -0.000512337376516; -0.00780803191791
22508.68554102665; -0.000516312532442; -0.00782354901074
22513.4803711089; -0.000523815987435; -0.0078455276848
22518.27520119115; -0.000529406278183; -0.00786900771535
22523.07003127339; -0.000532295596406; -0.00788969033046
22527.86486135564; -0.00053361527669; -0.00791056649073
22532.65969143789; -0.00053890234048; -0.0079370638068
22537.45452152013; -0.000542821877303; -0.00796030886161
22542.24935160238; -0.000548844545089; -0.00798168915133
22547.04418168463; -0.000550950541018; -0.00801031666021
22551.83901176687; -0.000557836356858; -0.00803308842347
22556.63384184912; -0.000560864992999; -0.00805276320869
22561.42867193136; -0.000570208498034; -0.00808553194496
22566.22350201361; -0.00057235015455; -0.00811108992619
22571.01833209586; -0.000578934450841; -0.00813546251268
22575.81316217811; -0.000587124587359; -0.00815694864099
22580.60799226035; -0.000588899123003; -0.00818303437702
22585.4028223426; -0.000603223305903; -0.00821254443262
22590.19765242485; -0.000606144823741; -0.00823118219306
22594.99248250709; -0.00060979108188; -0.00825967811229
22599.78731258934; -0.000623524628784; -0.00828527465231
22604.58214267158; -0.000617972290886; -0.00831015617048
22609.37697275383; -0.000627230427853; -0.00834062756869
22614.17180283608; -0.000638120114954; -0.00837211223696
22618.96663291832; -0.000646731534197; -0.00840018971797
22623.76146300057; -0.000655147459565; -0.00843406688441
22628.55629308282; -0.00066063652271; -0.00845288308457
22633.35112316506; -0.000658849085036; -0.00848560855652
22638.14595324731; -0.000671043956904; -0.00850642391438
22642.94078332956; -0.000680809118209; -0.00854391912741
22647.7356134118; -0.000685232943637; -0.00857160756762
22652.53044349405; -0.000695443250394; -0.00860267360519
22657.32527357629; -0.000700726588131; -0.00863726379393
22662.12010365854; -0.00071421857996; -0.00866909123749
22666.91493374079; -0.000718852171931; -0.00869805266931
22671.70976382303; -0.000730909661678; -0.00872857306484
22676.50459390528; -0.000739246759455; -0.00876433709731
22681.29942398753; -0.000746077317504; -0.00879369829894
22686.09425406977; -0.000753825879545; -0.00882721201403
22690.88908415202; -0.000759954172536; -0.00886353690676
22695.68391423427; -0.000775723681827; -0.00888907735044
22700.47874431651; -0.000782987569081; -0.00893209356899
22705.27357439876; -0.000794368086056; -0.00896322173377
22710.068404481; -0.000802933609797; -0.00900639228507
22714.86323456325; -0.000813062108843; -0.00903759927013
22719.6580646455; -0.000819937836307; -0.00907487466116
22724.45289472774; -0.000833041404343; -0.00910884419548
22729.24772480999; -0.000843136525065; -0.00914651792499
22734.04255489224; -0.000856518146928; -0.00918849621414
22738.83738497449; -0.000871427322283; -0.00922820137013
22743.63221505673; -0.000880035591482; -0.00926782747075
22748.42704513898; -0.000892675172642; -0.00930650469155
22753.22187522122; -0.000903219235485; -0.00934141311862
22758.01670530347; -0.00091864902468; -0.0093845372171
22762.81153538572; -0.000924233604731; -0.00942515267712
